Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,17500,46,19,124,199,312,0,3050,"0,000%","294,73684","572,60","0,00"
/P1-base/procesapago,17500,55,29,132,203,318,3,1273,"0,000%","291,36559","357,48","0,00"
Total,35000,51,24,128,200,316,0,3050,"0,000%","561,42827","889,77","0,00"
