procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
 r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 10486316 206220 4539324    0    0    19    33  259  200  4  5 91  0  0
 1  0      0 10364072 206220 4539132    0    0     0    32 2720 9672 25  5 69  0  0
 2  0      0 10094036 206220 4539144    0    0     0     0 2968 16134 37  4 59  0  0
 3  0      0 10071356 206220 4539152    0    0     0     0 3296 5747 12  4 84  0  0
 2  0      0 10066136 206220 4539168    0    0     0    88 4599 11126 17  9 73  0  0
 1  0      0 10036512 206228 4539188    0    0     0    96 5108 10917 16  9 75  0  0
 1  0      0 10038436 206228 4539212    0    0     0     0 4988 11893 12 11 78  0  0
 3  0      0 10001432 206228 4539264    0    0     0     0 6408 16104 17 12 71  0  0
 4  0      0 9987408 206228 4539332    0    0     0     0 7125 18296 13 16 71  0  0
 0  0      0 9979988 206228 4539388    0    0     0     0 6224 16018  8 15 77  0  0
 4  0      0 9956456 206236 4539448    0    0     0    28 6661 17203  9 17 74  0  0
 0  0      0 9939492 206236 4539528    0    0     0     0 6838 17037 10 21 69  0  0
 1  0      0 9928260 206236 4539568    0    0     0     0 7205 18463  7 24 70  0  0
 2  0      0 9894916 206236 4539692    0    0     0     0 6961 18330 10 20 69  0  0
 3  0      0 9873160 206236 4539740    0    0     0  4660 7866 20108  9 22 70  0  0
 1  0      0 9864812 206244 4539900    0    0     0    28 8023 20493 13 23 65  0  0
 3  0      0 9861764 206244 4539960    0    0     0     0 7361 18465 13 27 60  0  0
 7  0      0 9787508 206244 4540080    0    0     0     0 7818 18641 27 26 48  0  0
 3  0      0 9739116 206244 4540144    0    0     0     0 7346 18843 15 23 62  0  0
 2  0      0 9679748 206244 4540272    0    0     0     0 7750 19811 18 25 57  0  0
 2  0      0 9623976 206252 4541940    0    0     0    24 7420 19415  6 24 70  0  0
 0  0      0 9585044 206252 4542272    0    0     0     0 7373 19503 11 21 68  0  0
 2  0      0 9584068 206252 4542356    0    0     0     0 7466 19789  4 21 75  0  0
 4  0      0 9575028 206252 4542456    0    0     0     0 7102 18940  8 21 70  0  0
 2  0      0 9575212 206252 4542520    0    0     0     0 7421 20110  4 22 74  0  0
 1  0      0 9573932 206260 4542712    0    0     0    24 7774 20477  4 22 74  0  0
 2  0      0 9578896 206260 4542788    0    0     0     0 7597 19666  4 23 73  0  0
 3  0      0 9575364 206260 4542888    0    0     0     0 7463 20193  3 21 76  0  0
 2  0      0 9570392 206260 4542952    0    0     0     0 7666 20479  3 21 76  0  0
 2  0      0 9564140 206260 4543088    0    0     0     0 7120 19083  3 22 74  0  0
 1  0      0 9529224 206268 4543148    0    0     0   240 7293 19064  4 21 75  0  0
 0  0      0 9480360 206268 4543232    0    0     0     0 7423 21395  5 23 72  0  0
 4  0      0 9429644 206268 4543312    0    0     0     0 7311 19170  3 24 72  0  0
 7  0      0 9374756 206268 4543408    0    0     0     0 8022 22128  6 26 68  0  0
 2  0      0 9342516 206268 4543516    0    0     0     0 7541 20099 10 25 65  0  0
 2  0      0 9342552 206276 4543616    0    0     0  7596 8032 20970  4 21 74  0  0
 4  0      0 9341428 206276 4543688    0    0     0     0 6702 18005  4 22 74  0  0
 3  0      0 9341096 206276 4543760    0    0     0     0 7390 19067  3 23 74  0  0
 3  0      0 9340784 206276 4543860    0    0     0     0 7490 19748  4 22 73  0  0
 1  0      0 9340836 206276 4543952    0    0     0     0 7348 19946  3 23 74  0  0
 2  0      0 9340144 206284 4544024    0    0     0   116 7874 21699  4 22 74  0  0
 2  0      0 9340164 206284 4544120    0    0     0     0 7985 19661  4 22 74  0  0
 1  0      0 9339840 206284 4544176    0    0     0     0 7109 19453  3 21 76  0  0
 3  0      0 9337152 206284 4544284    0    0     0     0 7500 20058  4 22 74  0  0
 1  0      0 9331732 206284 4544384    0    0     0     0 7551 20776  5 22 73  0  0
 0  0      0 9326340 206292 4544548    0    0     0  2692 7508 18844  8 23 69  0  0
 1  0      0 9326552 206292 4544652    0    0     0     0 7756 19105  4 21 75  0  0
 2  0      0 9326196 206292 4544708    0    0     0     0 7172 19237  3 20 76  0  0
 1  0      0 9325756 206292 4544812    0    0     0     0 7446 19986  3 22 75  0  0
