procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  94024  52164    520  39104    6   11    26    16  173  238  5  2 93  0
 0  0  94016  52220    536  39104   32    0    40    88  159  146  1  1 98  0
 0  0  94016  52220    536  39120    0    0     0     0   58   99  0  0 100  0
 0  0  94016  52220    536  39120    0    0     0     0   57   94  0  0 100  0
 0  0  94016  52220    536  39128    0    0     0     0  556  600  8  6 86  0
 1  0  94016  52220    536  39160    0    0     0     0 1241 1788  9  9 81  0
 1  0  94016  52220    536  39200    0    0     0     0 1339 1781 11 12 77  0
 2  0  94016  52096    536  39252    0    0     0     0 2484 3334 15 13 73  0
 0  0  94016  52096    536  39328    0    0     0     0 3060 4187 17 16 67  0
 0  0  94016  51972    544  39400    0    0     0    12 3074 4303 16 14 70  0
 7  0  94016  51660    544  39604    0    0    64     0 3180 5277 18 19 63  0
 1  0  93988  29580    544  41408   32    0  1740     0 3487 6208 38 16 46  0
 2  0  93988  22256    548  41580    0    0    36     0 3540 7603 48 17 35  0
 0  0  93988  21664    548  41724    0    0     0     0 3507 7068 36 15 49  0
 4  0  93988  21108    556  41876    0    0     0    72 3638 7463 32 15 53  0
 1  0  93844  20828    556  42040  128    0   128     0 3761 7348 38 15 47  0
 2  0  93836  19928    556  42188   32    0    32     0 3397 6530 44 23 33  0
 1  0  93744  18844    556  42336   64    0    64     0 3497 6831 41 21 38  0
 0  0  93736  18596    556  42484   32    0    32     0 3547 7077 37 15 48  0
 6  0  93720  18008    564  42632   32    0    32    36 3596 7790 40 19 41  0
 0  0  93396  17200    564  42784  484    0   484  1888 3656 7884 34 20 45  0
 3  0  93288  16952    564  42932  160    0   160     0 3546 7422 32 18 50  0
 1  0  93280  16548    564  43084   12    0    12     0 3587 7307 34 14 52  0
 0  0  93204  15960    564  43240   76    0    76     0 3694 7630 33 20 46  0
 2  0  93204  15836    572  43384    0    0     0    28 3688 7488 38 17 45  0
 1  0  93204  15464    572  43540    0    0     0     0 3707 7562 35 16 50  0
 2  0  93204  15340    572  43692    0    0     0     0 3778 7364 37 17 46  0
 0  0  93176  14720    572  43852   52    0    68     0 3916 7741 33 16 51  0
 1  0  93176  14472    572  44008    0    0     0     0 3808 8095 32 18 50  0
 0  0  93176  13852    584  44160    0    0     0    20 3605 7382 33 16 52  0
 0  0  93176  13760    584  44308    0    0     0     4 3499 6788 32 17 51  0
 2  0  93124  12952    584  44468   32    0    32     0 3558 7523 30 18 52  0
 5  0  93108  12116    584  44612   24    0    24     0 3560 7055 35 20 45  0
 2  0  93108  11744    584  44760    0    0     0     0 3694 7226 41 20 39  0
 0  0  92944  11496    592  44916  192    0   192    52 3585 6728 36 20 44  0
 3  0  92944  11156    592  45060    0    0     0     0 3802 7895 30 16 54  0
 3  0  92944  10752    592  45212    0    0     0     0 3377 7093 33 15 52  0
 4  0  92944  10288    592  45356    0    0     0     0 3564 7691 33 16 51  0
 5  0  92940  10164    592  45516    0    0     0     0 3573 7297 35 14 51  0
 0  0  92932   7932    600  45740   32    0   100    20 3622 7435 34 14 52  0
 2  0  92892   7468    600  45880   96    0    96     0 3781 7736 31 17 52  0
 0  1  93060   7932    572  45088   96  304    96   304 4235 7103 35 17 29 20
 4  0  93192   8180    564  44976    0  152     0   152 3707 7651 32 16 46  6
 0  0  93152   7808    564  45128  128    0   128     0 3645 7662 35 18 46  0
 4  0  93128   7716    572  45280   32    0    32    36 3585 7393 33 19 49  0
 1  1  93216   7496    556  44276   64  252    64   292 4229 7092 37 20 33 10
 0  0  92980   8428    548  43864  192  156   192   156 3945 7262 34 14 42 10
 1  0  92944   8396    548  44012   32    0    32     0 3511 6863 32 16 52  0
 5  0  92736   7684    548  44176  224    0   224     0 3769 7434 33 17 50  0
 1  0  93660   8216    540  43560  276 1408   276  1464 3465 6100 35 21 35  9
 3  1  93580   7292    516  43020  444  164   464  2124 3391 6111 36 17 41  6
 1  0  93388   7656    516  42780  256    0   256     0 2699 5498 32 14 47  7
 4  0  93416   8188    508  42724  984  860   984   860 3702 7562 35 16 46  4
 2  0  93208   8008    508  42892  256    0   256     0 3494 7194 28 15 57  0
 0  1  92688   6780    508  42120  540   32   540  3936 4521 6569 34 18 33 15
 3  1  92868   6848    492  41648  836  920   952   920 6192 7168 39 24 15 22
 0  0  93080   8912    484  41352  352  576   520   576 3638 5492 26 16 49  8
 3  0  93032   8076    484  41452   44    0    44     0 3363 5283 26 21 53  0
 0  0  92956   7920    484  41544   96    0    96     0 3055 4588 32 16 52  0
 6  0  92884   7828    492  41632   64    0    64    56 2835 3602 23 16 61  0
 0  1  93108   8208    472  41204    0  564     0   568 2966 3387 22 16 48 14
 1  0  92940   8696    464  40952  128    0   128     0 2122 2621 21 14 52 13
 0  0  92888   8124    464  40984   96    0    96     0 1714 1938 23 11 66  0
 1  0  92816   7992    464  40984   88    0    88     0 1213 1240 19  9 72  0
 0  0  92776   8124    472  41012   40    0    40    28  700  740 16  6 78  0
 0  1  92748   7504    472  40548   92  104    92   104  386  474 11  3 71 14
MEDIA
NR:  68 CPU:  43.803
