procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  90520  60380    524  32312    7   11    23    16  171  250  5  2 93  0
 0  0  90520  60380    524  32336    0    0     0     0   76   93  0  0 100  0
 0  0  90520  60380    524  32336    0    0     0     0   58   98  0  0 100  0
 0  0  90520  60380    524  32336    0    0     0     0   45   84  0  0 100  0
 0  0  90520  60380    524  32344    0    0     0     0  983 1227  7  9 85  0
 0  0  90520  60412    532  32396    0    0     0    64 1605 2325 13 15 73  0
 2  0  90520  60224    532  32460    0    0     0     0 2261 3307 13 13 75  0
 1  0  90476  60100    532  32540   56    0    56     0 3477 5535 21 12 66  0
 0  0  90476  60008    532  32676    0    0     0     0 3250 6212 30 19 51  0
 2  0  90476  59568    532  32812    0    0     0     0 3216 6354 28 27 46  0
 8  0  90416  59612    540  33116   32    0    84    12 3750 8227 32 27 40  0
 0  0  90416  30276    580  41948    0    0  8644     0 4254 8234 57 24 18  2
 0  0  90280  16040    580  47484  160    0  5516     0 3422 7427 52 23 22  2
 2  0  90172  14436    580  47708  112    0   112     0 3883 7774 49 24 28  0
 4  0  90024  13424    580  48064  172    0   360     0 4051 7300 51 22 27  0
 0  0  89920  12944    588  48124   96    0    96    72 3805 7572 50 24 26  1
 1  0  89864  12140    588  48420   64    0    64     0 4391 9943 45 27 29  0
 0  0  89496  12444    588  48704  348    0   368     0 4373 10110 43 22 36  0
 6  0  88484  10876    588  48780  968    0   968     0 3374 6891 33 18 49  0
 0  0  88484   9312    588  49080    0    0     0     0 4560 9264 42 22 37  0
 0  0  87752   8176    596  49284  708    0   708    36 4239 9447 43 23 35  0
 1  0  88200   7848    596  48804  616 1024   616  1024 3575 7084 36 23 42  0
 0  0  90680   8584    580  47804  796 2944   856  2944 2257 3116 18  5 74  3
 0  0  90256   8152    580  47812  528    0   528     0  779  481 13  1 86  0
 0  0  89796   7780    580  47812  400    0   400     0  319  416 10  1 90  1
 0  0  89192   8276    580  47544  520    0   520    20  647  431 10  1 73 16
 0  0  89004   8400    580  47564  160    0   160     0  325  371  9  1 90  0
 0  0  88416   7780    580  47564  544    0   544     0  319  522  9  1 89  0
 0  0  93432   8648    560  46316  240 5308  1012  5308  861  674 12  1 79  7
 0  0  92996   8276    560  46316  448    0   448     0  354  368  9  0 91  0
 0  0  92876   8276    560  46316  128    0   128     0  272  379  8  0 92  0
 0  0  92164   8524    568  45772  680    0   680    16  310  385  8  1 70 20
16  1  92164   8524    568  45844    0    0    72     0   14   26  0  0 100  0
 0  0  90920   8496    556  45688 1096    0  1096  1716  602  860  2  0 94  3
 0  0  90604   8808    556  45684  316    0   316     0  318  415 11  1 88  0
 0  0  90488   9116    556  45692  124    0   132     0  327  380 10  3 87  0
 0  0  90436   9104    556  45736   64    0   108     0  397  454 12  2 86  0
 1  0  90328   8124    564  45728  128    0   128   112  474  460 15  4 81  0
 2  1  90148   7620    556  45500  248    0   248     0  963  913 80 16  5  0
 2  0  90072   8392    556  45484   80    0    80     0  953  905 83 16  0  0
 3  0  90072   8268    556  45488    0    0     0     0  900  827 85 13  2  0
 2  0  89944   8504    556  45488   96    0    96     0  915  860 83 15  2  0
 3  0  89824   8576    556  45488  124    0   124  1288 1247 1334 84 15  1  1
 2  0  89752   8512    564  45492   64    0    64    24 1367 1271 87 12  2  0
 3  0  89592   8356    564  45496  148    0   148     0 1074  910 86 14  1  0
 2  0  89156   7612    564  45496  292    0   292     0 1209 1077 75 13 13  0
 2  0  88984   8480    532  45020  224    0   224     0  936  626 85 15  1  0
 2  0  88904   8356    532  45020  192    0   192     0  888  586 83 17  1  0
 2  0  88808   8232    532  45020  112    0   112     0  881  565 88 10  1  0
 2  0  88684   8108    540  45012  204    0   204    28  994  679 84 16  1  0
 2  0  88452   7860    540  45040  212    0   212     0  954  661 86 14  1  0
 2  0  88452   7860    540  45020    0    0     0     0  862  721 86 14  0  0
 2  0  88356   7860    540  45020    0    0     0     0  825  568 86 14  1  0
 2  0  88124   7860    540  45024   52    0    52     0  829  693 84 15  1  0
 2  0  88124   7736    540  45024    0    0     0     0  744  582 84 16  1  0
 2  0  88124   7736    540  45024    0    0     0     0  868  735 86 13  0  0
 2  0  88120   7736    540  45024    0    0     0     0  782  655 86 14  1  0
 2  0  87812   7612    540  45024  180    0   180     0  756  574 83 16  2  0
 2  0  87788   7620    548  45016   32    0    32    12  785  628 84 16  0  0
 2  0  88176   8364    528  44360  460  800   460   800 1420 1371 85 15  1  0
 2  0  88044   8364    528  44360  216    0   216     0  836  783 85 14  1  0
 2  0  88044   8240    528  44360    0    0     0     0  751  556 83 17  0  0
 2  0  87748   7992    528  44360  172    0   172     4  760  591 86 13  0  0
 2  0  87720   7992    528  44360   80    0    80     0  902  914 87 12  0  0
 2  0  87720   7888    528  44360    0    0     0     0  885  786 87 13  1  0
 2  0  87720   7888    528  44364    0    0     0     0 1033 1131 83 14  2  0
 2  1  90272   8228    476  44220  168 2656   884  2656 2293  927 85 15  0  0
 2  0  91116   8320    484  43988    0  844     0   916 1300  814 82 15  4  0
 2  0  93512   8292    456  43456  160 2592   160  2592 1970  881 79 16  4  0
 2  0  93464   8164    456  43456   48    0    48     0  810  604 86 14  1  0
 2  0  93464   8040    456  43456    0    0     0     0  819  663 84 16  1  0
 2  0  93456   8040    456  43464    0    0     0     0  916  960 87 13  1  0
 2  0  93456   8164    456  43456    0    0     0    24  910  877 84 15  1  0
 2  0  93452   8040    464  43460    0    0     0    40  898  766 83 14  4  0
 2  0  93452   8040    464  43464    0    0     0     0  762  556 83 16  2  0
 2  0  94464   8368    468  43344    0 1016    28  1016 1518  968 74 13 13  0
 6  1  96020   8016    464  42988  700 1944   844  1944 4178 3171 76 20  3  0
 1  0  95328   9632    472  43192 1228  376  1424   376 2025 2794 53  3 42  2
 1  0  95664   8220    460  42388 1540 1888  1540  1888 2917 3481 56  8 35  1
 2  0  98616   7880    452  42012  444 3700   612  3728 2363 2337 62  8 28  3
 3  0  98452   7688    452  42032  160    0   164     0 1623 1393 84 14  2  0
 6  0  98448   7536    452  42148    0    0     0     0 3111 2574 75 23  2  0
 2  0  99400   8376    444  41792  524 1452   524  1452 2827 2539 81 14  6  0
 2  0  99304   8140    444  41812   76    0    76     0 1144  685 81 17  3  0
 2  0 102012   8160    444  41048 1680 3764  1764  3792 4563 2832 74 20  6  2
 2  0 102008   8772    444  41044    0    0     0     0  979  688 85 14  1  0
 5  0 101528   8460    444  41196  436    0   508     0 2060 1514 79 19  3  0
 2  0 102940   7664    444  40636  556 1896   556  1896 2632 2165 76 16  7  0
 2  0 102872   8524    444  40636   64    0    64     0 1022  860 80 18  2  0
 2  0 102492   8404    452  40644  308    0   308    44 1261 1313 84 15  2  0
 2  0 102328   8228    452  40644  136    0   136     0 1262 1257 84 14  2  0
 2  0 102236   8260    452  40656   32    0    32     0 1215 1203 86 12  3  0
 3  0 102072   8120    452  40680  124    0   124    16 1456 1037 82 18  1  0
 1  0 102676   7884    440  39280 4780 4788  4988  4788 4928 4490 69 17 11  3
 1  1 100864   7060    444  39060 2260   20  2344  1232 2690 4405 59  8 25  9
 2  0 103012   8488    444  36916 2040 4232  2040  4332 3680 4746 54 12 25  9
 2  0 103748   7644    444  36556 1884 2744  1992  2744 1649 2353 51  6 39  3
 2  0 104036   8348    444  36388  252  496   272   496 1334 1051 83 15  2  0
 2  0 103784   8284    444  36388  256    0   256     0 1085  774 85 14  1  0
 2  0 106092   8852    452  35640  684 2900   684  2968 5692 2662 75 19  5  0
 1  0 104956   8680    456  35636 1492  124  1496   124 1728 2395 54  6 40  1
 2  0 104684   9424    456  35644  320    0   320     0 1019  943 81 14  6  0
 2  0 104588   8848    456  35656   96    0    96     0 1226 1156 84 14  1  0
 2  0 104412   8344    456  35668  212    0   212     0 1156 1298 83 12  4  0
 1  0 104208   7904    464  35672  192    0   192    32 1051 1094 83 14  3  0
 2  0 104088   7716    464  35676  128    0   128     0 1058  854 83 16  1  0
 2  0 104808   8208    496  34724 1060 1660  1100  1660 5366 2620 77 18  4  1
 1  0 104916   9220    500  33996  336 1064   340  1064 3299 1586 51  7 39  3
 2  0 104568   9160    500  34016   60    0    60     0 1072 1146 81 13  6  0
 2  0 104388   8640    500  34020   48    0    48     0  927  873 84 14  1  0
 2  0 104076   8672    508  34044   56    0    56    20 1115  981 83 13  5  0
 2  0 103804   8608    508  34044   60    0    60     0  851  581 83 17  1  0
 2  0 103104   7584    508  34140  276    0   276     0 2356 1979 78 20  3  0
 2  0 103024   8100    508  34132   32    0    32     0  906  774 80 16  4  0
 2  0 102884   8204    508  34136   36    0    36     0  986  994 83 16  1  0
 2  0 102636   8064    516  34132   44    0    44    20 1079  876 81 18  1  0
 2  0 102552   7776    516  34220   16    0    16     0 1566 1601 83 16  2  0
 3  0 103144   8108    504  33176  512 1532   532  2156 2848 3031 58  9 29  4
 4  0 102920   8012    504  33220  156    0   156     0 1588 1466 81 14  5  0
 3  1 100200   7940    456  30480 5320 2296  5320  2576 4939 1387 81 14  3  2
 2  0 101044   7500    456  29560  328 1196   328  1196 2412  762 89 10  1  0
 2  0 101040   7840    464  29576    0    0     0    52 1151 1020 81 15  4  0
 2  0 100612   7500    464  29624  128    0   128     0 1579 1228 79 18  3  0
 2  0 100400   7532    464  29640  136    0   136     0 1310  900 82 17  1  0
 2  0 101996   8000    464  29172  344 1936   344  1936 2899 1861 80 18  1  0
 2  0 103372   8396    428  28264 1088 2136  1088  2136 2354 2668 59 13 28  0
 2  0 103104   8988    428  28328  256    0   260     0  893  770 82 13  5  0
 1  0 102952   8740    436  28336  192    0   192    28 1122 1274 82 15  3  0
 2  0 102864   8556    436  28336   96    0    96     0  890  820 85 14  1  0
 2  0 102268   8060    436  28360  572    0   572     0 1504 1480 84 13  3  0
 1  0 102472   8304    432  28320  636  496   636   496 1598 1170 81 17  1  0
 2  0 102152   8432    432  28308  508    0   508     0 1039  994 83 17  1  0
 2  0 102064   8260    440  28316  112    0   112    28 1637 1450 82 18  1  0
 3  1 103648   8192    432  27528  736 2244   736  2244 2505 1388 80 19  2  0
 1  0 104692   8856    424  26776  560 1916   724  1916 2723 4997 59  8 27  5
 1  0 103532   8948    424  26752  828    0   828     0  958 1076 51  2 47  0
