Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,25000,17001,10546,31587,33665,85161,1,444956,"26,596%","44,73728","88,32","0,00"
/P1-base/procesapago,25000,16645,10162,31582,33694,83280,3,317526,"26,172%","44,72912","60,72","0,00"
Total,50000,16823,10335,31585,33674,84283,1,444956,"26,384%","89,08067","148,39","0,00"
