procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
 r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 10247524 211640 4655188    0    0    16    32  252  236  4  5 92  0  0
 3  0      0 10126044 211640 4654148    0    0     0    32 2692 10083 26  5 69  0  0
 2  0      0 9834324 211640 4654184    0    0     0     0 3071 19368 40  4 56  0  0
 1  0      0 9750584 211640 4654196    0    0     0     0 3913 9777 13  3 84  0  0
 7  0      0 9721888 211648 4654216    0    0     0    96 5745 14570 19  8 73  0  0
 1  0      0 9691932 211648 4654320    0    0     0     0 8299 19207 21 10 70  0  0
 4  0      0 9655448 211648 4654340    0    0     0     0 7826 17656 23 11 66  0  0
 1  0      0 9622380 211648 4654400    0    0     0     0 6976 14604 16 17 68  0  0
 0  0      0 9591560 211648 4654436    0    0     0     0 6482 11502 15 14 71  0  0
 1  0      0 9574972 211656 4654452    0    0     0    32 6450 10447  8 10 82  0  0
 1  0      0 9524016 211704 4654632    0    0     0   556 7095 11214  5 20 75  0  0
 2  0      0 9515980 211704 4654796    0    0     0     0 6868 14766  6 27 68  0  0
 3  0      0 9505944 211704 4654880    0    0     0     0 6346 10430  2 30 68  0  0
 2  0      0 9475120 211704 4655060    0    0     0     0 6102 7395  8 30 62  0  0
 2  0      0 9468988 211704 4655408    0    0     0     0 5616 6648  2 30 68  0  0
 2  0      0 9468184 211712 4655600    0    0     0    44 5869 6042  0 31 69  0  0
 2  0      0 9466896 211712 4655680    0    0     0     0 5038 5599  0 28 72  0  0
 2  0      0 9466472 211712 4655680    0    0     0     0 4660 5234  0 28 72  0  0
 2  0      0 9460400 211712 4655688    0    0     0     0 3999 4524  1 26 73  0  0
 6  0      0 9432440 211712 4655720    0    0     0     0 5260 7596  6 28 66  0  0
 2  0      0 9427676 211720 4655760    0    0     0    28 5698 9084  4 25 71  0  0
 1  0      0 9423008 211720 4655760    0    0     0     0 5801 8531  1 18 81  0  0
 2  0      0 9421152 211720 4655768    0    0     0     0 5162 6301  1 25 73  0  0
 2  0      0 9408912 211720 4655804    0    0     0     0 5884 6628  1 29 70  0  0
 2  0      0 9407436 211720 4655812    0    0     0     0 5989 7114  1 30 69  0  0
 2  0      0 9407592 211728 4655812    0    0     0  4624 4957 4637  0 29 70  0  0
 2  0      0 9407592 211728 4655812    0    0     0     0 4262 4040  0 27 73  0  0
 2  0      0 9407640 211728 4655812    0    0     0     0 4633 4903  1 30 69  0  0
 2  0      0 9406216 211736 4655916    0    0     0    84 6205 9600  2 28 70  0  0
 1  0      0 9399060 211736 4655964    0    0     0     0 6271 11223  4 26 71  0  0
 0  0      0 9335612 211736 4655980    0    0     0   132 6250 9794  6 16 79  0  0
 2  0      0 9262588 211736 4655980    0    0     0     0 5466 7588  4 22 74  0  0
 2  0      0 9253256 211736 4655988    0    0     0     0 5436 8608  2 28 69  0  0
 3  0      0 9253336 211744 4655988    0    0     0    36 4571 5105  0 29 71  0  0
 2  0      0 9251244 211744 4656012    0    0     0     0 4467 7368  1 28 70  0  0
 2  0      0 9250276 211744 4656020    0    0     0     0 3691 3737  0 29 70  0  0
 2  0      0 9249252 211744 4656020    0    0     0     0 3122 2668  0 29 71  0  0
 2  0      0 9247732 211744 4656020    0    0     0     0 5008 6150  1 28 71  0  0
 3  0      0 9235984 211752 4656044    0    0     0    32 5384 6885  7 26 67  0  0
 2  0      0 9235520 211752 4656084    0    0     0     0 4221 5376  1 26 73  0  0
 2  0      0 9234512 211752 4656092    0    0     0     0 3050 3067  0 27 73  0  0
 2  0      0 9301040 211752 4656140    0    0     0  2612 3473 3133  1 27 72  0  0
 2  0      0 9257940 211752 4656212    0    0     0     0 3645 3741  5 27 68  0  0
 2  0      0 9234984 211760 4656268    0    0     0    44 3780 3291 13 27 61  0  0
 2  0      0 9234480 211760 4656276    0    0     0     0 4461 4520  0 30 70  0  0
 4  0      0 9233848 211760 4656360    0    0     0     0 4803 6681  4 26 71  0  0
 3  0      0 9223308 211760 4656416    0    0     0     0 6902 12932  4 28 68  0  0
 1  0      0 9219204 211760 4656456    0    0     0     0 5800 8453  1 17 82  0  0
 3  0      0 9215868 211768 4656456    0    0     0    32 4880 6718  1 27 72  0  0
 3  0      0 9213936 211768 4656480    0    0     0     0 5324 6185  4 28 68  0  0
 2  0      0 9213776 211768 4656512    0    0     0     0 4862 3874  0 30 70  0  0
 2  0      0 9221868 211768 4656512    0    0     0  1476 5132 3287  0 29 71  0  0
 2  0      0 9221328 211768 4656516    0    0     0     0 4901 3769  1 28 71  0  0
 2  0      0 9220984 211776 4656536    0    0     0    44 4795 5014  1 28 70  0  0
 2  0      0 9221260 211776 4656552    0    0     0     0 3413 3129  1 29 69  0  0
 2  0      0 9165064 211776 4656584    0    0     0     0 3916 4418  5 28 67  0  0
 2  0      0 9164568 211776 4656628    0    0     0     0 4609 5681  0 28 72  0  0
 3  0      0 9164552 211776 4656636    0    0     0     0 4266 5699  1 28 72  0  0
 2  0      0 9164384 211776 4656644    0    0     0     0 3702 3586  0 29 71  0  0
 4  0      0 9164652 211784 4656640    0    0     0    32 3576 4167  0 29 70  0  0
 3  0      0 9163120 211784 4656692    0    0     0     0 6469 9790  6 22 72  0  0
 2  0      0 9161988 211792 4656712    0    0     0   696 5880 8022  2 22 76  0  0
 2  0      0 9161068 211792 4656752    0    0     0     0 5270 8724  3 28 69  0  0
 2  0      0 9160832 211792 4656796    0    0     0     0 4815 6077  1 28 71  0  0
 2  0      0 9161092 211792 4656828    0    0     0     0 4171 6335  1 27 72  0  0
 2  0      0 9129884 211792 4656832    0    0     0     0 5327 8158  7 27 67  0  0
 2  0      0 9126112 211792 4656904    0    0     0   660 6367 9454  8 25 66  0  0
 2  0      0 9125748 211800 4656932    0    0     0    60 4627 5094  0 29 71  0  0
 2  0      0 9124464 211800 4657316    0    0     0     0 5165 5756  1 31 68  0  0
 2  0      0 9124960 211800 4657316    0    0     0     0 4794 5295  0 30 70  0  0
 3  0      0 9124900 211800 4657324    0    0     0     0 3994 3642  0 29 71  0  0
 2  0      0 9124664 211800 4657360    0    0     0     0 4367 4455  0 29 70  0  0
 2  0      0 9124168 211808 4657376    0    0     0    32 3966 3758  0 28 71  0  0
 2  0      0 9124160 211808 4657384    0    0     0     0 3125 2562  0 29 70  0  0
 2  0      0 9123836 211808 4657408    0    0     0     0 4266 4935  1 29 70  0  0
25  0      0 9119484 211808 4657468    0    0     0     0 5806 9755  2 21 77  0  0
 2  0      0 9118312 211808 4657492    0    0     0     0 6013 9445  0 23 77  0  0
 3  0      0 9117892 211816 4657536    0    0     0  3048 5075 5728  1 26 73  0  0
 2  0      0 9118144 211816 4657536    0    0     0     0 3962 4352  0 26 73  0  0
 2  0      0 9117764 211816 4657544    0    0     0     0 4127 4344  0 26 74  0  0
 2  0      0 9084104 211816 4657628    0    0     0     0 4297 6576  1 27 72  0  0
 2  0      0 9074496 211816 4657720    0    0     0     0 3637 3984  1 27 73  0  0
 2  0      0 9068164 211824 4657724    0    0     0    40 4218 4543  0 28 72  0  0
 4  0      0 9059060 211824 4657784    0    0     0     0 5187 6378  1 25 74  0  0
 2  0      0 9051532 211824 4657844    0    0     0     0 5543 7172  1 26 73  0  0
 3  0      0 9051028 211824 4657844    0    0     0     0 3842 3811  0 27 73  0  0
 1  0      0 9045256 211824 4657844    0    0     0     0 4364 5553  1 29 70  0  0
13  0      0 8948912 211832 4657884    0    0     0    28 6401 10697 19 26 55  0  0
 3  0      0 8942312 211832 4657952    0    0     0     0 4587 6121  2 27 70  0  0
 2  0      0 8942240 211832 4657976    0    0     0     0 4348 5238  0 26 74  0  0
 2  0      0 8941736 211832 4658008    0    0     0     0 4950 6027  1 27 72  0  0
 4  0      0 8941560 211832 4658068    0    0     0     0 3748 4978  0 26 73  0  0
 2  0      0 8941756 211840 4658052    0    0     0  3508 5295 8149  1 27 71  0  0
 4  0      0 8941468 211840 4658112    0    0     0     0 6149 10836  1 20 79  0  0
 1  0      0 8939712 211840 4658200    0    0     0     0 5742 10062  2 16 82  0  0
 2  0      0 8939384 211840 4658208    0    0     0     0 4451 5789  0 27 73  0  0
 2  0      0 8939140 211840 4658216    0    0     0     0 4610 5993  0 28 72  0  0
 2  0      0 8938952 211840 4658240    0    0     0     0 3880 4494  0 27 73  0  0
 2  0      0 8938496 211848 4658248    0    0     0    40 4256 5375  0 28 71  0  0
 2  0      0 8938520 211848 4658280    0    0     0     0 3607 4315  0 29 70  0  0
 2  0      0 8938300 211848 4658316    0    0     0     0 5500 8452  1 27 72  0  0
 1  0      0 8938108 211848 4658388    0    0     0     0 6928 11855  1 26 73  0  0
 1  0      0 8937832 211848 4658416    0    0     0     0 5635 7553  1 18 81  0  0
 1  0      0 8937352 211856 4658416    0    0     0    32 5408 8121  1 18 81  0  0
 2  0      0 8936596 211856 4658400    0    0     0     0 4825 5579  0 26 73  0  0
 2  0      0 8936344 211856 4658436    0    0     0     0 5357 3352  1 28 71  0  0
 1  0      0 8935872 211856 4658440    0    0     0     0 3811 2638  0 29 70  0  0
 2  0      0 8935676 211856 4658448    0    0     0     0 4530 4266  1 30 70  0  0
 2  0      0 8935456 211864 4658460    0    0     0    36 6121 9183  1 29 70  0  0
 2  0      0 8934904 211864 4658512    0    0     0     0 4510 5491  0 27 73  0  0
 2  0      0 8933724 211864 4658536    0    0     0     0 4653 5862  1 27 73  0  0
 2  0      0 8933668 211864 4658556    0    0     0     0 5053 6008  1 26 73  0  0
 2  0      0 8933384 211864 4658556    0    0     0     0 4030 4133  0 26 73  0  0
 2  0      0 8933384 211872 4658564    0    0     0    36 3858 3597  0 27 73  0  0
 1  0      0 8858156 211872 4658652    0    0     0     0 6085 10491  9 28 63  0  0
 1  0      0 8857080 211872 4658712    0    0     0     0 5478 8205  1 17 82  0  0
 2  0      0 8855540 211872 4658744    0    0     0     0 5771 7400  0 25 75  0  0
 2  0      0 8856044 211872 4658744    0    0     0     0 5438 6511  1 29 71  0  0
 2  0      0 8855840 211880 4658740    0    0     0    32 4141 4672  0 28 72  0  0
 2  0      0 8856076 211880 4658752    0    0     0     0 3552 3485  0 28 72  0  0
 2  0      0 8856076 211880 4658752    0    0     0     0 3660 3437  0 27 73  0  0
 3  0      0 8856076 211880 4658784    0    0     0     0 2929 1974  0 26 74  0  0
 2  0      0 8856076 211880 4658820    0    0     0     0 3346 4820  2 26 73  0  0
 2  0      0 8855816 211880 4658820    0    0     0  2352 3742 3094  0 25 75  0  0
 2  0      0 8855824 211888 4658820    0    0     0    48 4036 5948  1 26 73  0  0
 2  0      0 8855816 211888 4658824    0    0     0     0 3115 2603  0 25 75  0  0
 2  0      0 8855816 211888 4658828    0    0     0     0 3213 2750  0 25 75  0  0
10  0      0 8845136 211888 4658908    0    0     0     0 6433 9942  4 27 69  0  0
 1  0      0 8806492 211888 4658992    0    0     0 11940 6865 9697 10 18 72  0  0
 0  0      0 8806572 211888 4659008    0    0     0     0 5217 7190  0 16 84  0  0
 3  0      0 8806204 211896 4659036    0    0     0    48 6152 10617  5 13 83  0  0
 2  0      0 8805896 211896 4659040    0    0     0     0 5933 7818  2 19 79  0  0
 2  0      0 8806368 211896 4659048    0    0     0     0 5263 5702  0 29 71  0  0
 2  0      0 8806212 211896 4659080    0    0     0     0 5986 8615  1 28 71  0  0
 2  0      0 8805976 211896 4659152    0    0     0     0 6675 9613  1 28 71  0  0
 2  0      0 8805748 211904 4659200    0    0     0    28 4592 5758  0 27 73  0  0
 1  0      0 8805876 211904 4659240    0    0     0     0 5205 7129  0 27 73  0  0
 1  0      0 8805496 211904 4659280    0    0     0     0 6346 12441  2 18 80  0  0
 2  0      0 8804788 211904 4659332    0    0     0   176 4986 7165  2 19 79  0  0
 2  0      0 8804764 211904 4659340    0    0     0     0 4798 5969  0 27 73  0  0
 2  0      0 8805112 211912 4659340    0    0     0    32 8414 6735  0 26 73  0  0
 2  0      0 8804940 211912 4659368    0    0     0     0 5040 6998  0 26 74  0  0
 2  0      0 8805004 211912 4659408    0    0     0     0 5522 8293  3 25 72  0  0
 2  0      0 8784372 211912 4659440    0    0     0     0 4596 5933  6 27 67  0  0
 0  0      0 8753372 211912 4659492    0    0     0     0 6460 9980  6 19 74  0  0
 2  0      0 8752480 211920 4659492    0    0     0    32 5448 7824  1 19 80  0  0
 2  0      0 8752920 211920 4659508    0    0     0     0 4709 5611  0 27 73  0  0
 2  0      0 8753212 211920 4659508    0    0     0     0 5558 7237  1 26 73  0  0
 2  0      0 8747316 211920 4659628    0    0     0     0 4706 7125  5 26 70  0  0
 3  0      0 8744632 211920 4659732    0    0     0     0 5663 8007  8 27 66  0  0
 1  0      0 8744356 211928 4659764    0    0     0    36 6884 10894  2 28 70  0  0
 2  0      0 8740388 211928 4659792    0    0     0     0 6293 8946  5 27 68  0  0
 2  0      0 8740584 211928 4659808    0    0     0     0 5241 9070  2 26 72  0  0
 2  0      0 8740396 211928 4660088    0    0     0  1492 5166 6457  0 26 74  0  0
 2  0      0 8739892 211928 4660104    0    0     0     0 5492 8963  3 29 69  0  0
 2  0      0 8739892 211936 4660132    0    0     0    40 5688 7607  1 26 73  0  0
 1  0      0 8739324 211936 4660440    0    0     0     0 7714 10402  1 21 78  0  0
 1  0      0 8739616 211936 4660452    0    0     0     0 5182 6413  0 26 73  0  0
 2  0      0 8739632 211936 4660452    0    0     0   960 5061 6471  1 25 74  0  0
 2  0      0 8739080 211936 4660476    0    0     0     0 7501 12293  2 27 71  0  0
 2  0      0 8738288 211944 4660544    0    0     0    40 6190 6170  0 28 72  0  0
 3  0      0 8738020 211944 4660556    0    0     0     0 5214 6174  0 28 71  0  0
 1  0      0 8738516 211944 4660572    0    0     0     0 4984 6596  1 27 72  0  0
 2  0      0 8738272 211944 4660588    0    0     0     0 3939 3525  0 30 70  0  0
 2  0      0 8665792 211944 4660604    0    0     0 13828 4379 3856  1 30 69  0  0
 2  0      0 8665700 211952 4660632    0    0     0    44 4380 5078  0 30 70  0  0
