procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  92080  48536   1580  43016    5    9    21    13  152  216  4  2 94  0
 0  0  92080  48528   1580  43048    0    0     0     0   72   89  1  0 99  0
 0  0  92080  48528   1580  43048    0    0     0     0   67   94  1  0 99  0
 0  0  92080  48528   1580  43048    0    0     0     0   59   89  0  0 100  0
 1  0  92080  48404   1588  43040    0    0     0    60  758  897  9 10 81  0
 1  0  92080  48404   1588  43072    0    0     0     0 1344 1763 11 12 77  0
 0  0  92072  48156   1588  43356   64    0   272     0 1737 2436 12 11 77  0
 0  0  92072  48032   1588  43472    0    0    56     0 2823 4162 16 10 74  0
 1  0  92068  47908   1588  43504    4    0     4     0 2897 4245 23 23 54  0
 1  0  92056  47876   1596  43596    0    0     0    16 3226 5266 19 13 68  0
 8  0  92056  47744   1596  43792    0    0     0     0 3073 5656 25 16 58  0
 5  0  92056  25236   1596  45780    0    0  1840     0 3396 6989 39 18 42  0
 7  0  91944  17632   1596  46344   96    0   480     0 3451 7934 56 21 24  0
 0  0  91944  16888   1596  46576    0    0     0     0 3748 7741 40 19 41  0
 4  0  91900  16292   1604  46756   96    0    96    76 3883 7780 40 17 43  0
 2  0  91900  15908   1604  46904    0    0     0     0 3408 6645 39 24 37  0
 2  0  91876  15124   1604  47096    0    0     0     0 3660 7876 52 23 25  0
 0  0  91876  14344   1604  47284    0    0     0     0 3919 8603 38 22 40  0
 2  0  91876  13532   1604  47312    0    0     0     0 2840 5277 35 19 46  0
 2  0  91696  12380   1612  47532  192    0   192    36 2880 5901 34 18 49  0
 2  0  91568  12232   1612  47732  160    0   160     0 3439 7713 37 21 41  0
 3  0  91520  12512   1612  47916   32    0    32     0 3761 8057 36 18 47  0
 2  0  90912  11768   1612  48072  624    0   624     0 3722 8096 35 20 45  0
 5  0  90376  10308   1612  48256  576    0   576     0 3866 7652 49 30 22  0
 3  0  90320  10188   1620  48424   48    0    48    20 3434 7261 40 23 37  0
 0  0  90176   9632   1620  48604  128    0   128     0 3864 8306 39 20 41  0
 2  0  90144   9156   1620  48764   64    0    64     0 3531 7046 41 23 36  0
 0  0  90084   9104   1620  48956   64    0    64     0 3907 8412 38 21 41  0
 4  0  90032   8360   1620  49132   32    0    32     0 3834 7324 39 21 40  0
 3  0  89980   7764   1628  49288   84    0    84    36 3184 5802 44 31 26  0
 3  1  89876   8544   1628  48460   64  332    64   332 4421 8709 40 24 25 11
 0  0  89616   8572   1628  48628  256    0   256     0 3482 7214 45 23 30  3
 0  0  89260   8452   1620  48304   32   88    32  4380 4447 8406 38 17 42  2
 1  0  89208   8360   1620  48468   72    0    72     0 3414 7884 38 23 39  0
 5  0  89100   8144   1628  48644   96    0    96    76 3753 8674 36 17 47  0
 3  0  88916   7524   1628  48824  352    0   352     0 4043 8378 33 18 49  0
 0  1  88820   7612   1612  47172   64  364    64   364 3369 5271 28 15 43 13
 0  0  87892   8768   1604  46892  388   12   388    12 4405 9606 40 23 30  8
 0  0  87584   8432   1604  47060  300    0   300     0 3978 8208 33 16 52  0
 1  1  87152   7412   1604  46460  224  140   224   188 4312 7331 38 17 37  8
 2  1  86280   7968   1596  45952  128   64   128    64 5742 8829 41 20 16 23
 4  0  86340   8276   1588  45952   64  192    64   192 4313 6560 38 24 30  7
 3  0  86212   7468   1588  46144  148    0   148     0 4191 8753 38 20 42  0
 0  1  85452   7348   1588  46172  224    0   224     0 4325 8584 35 18 35 12
 0  1  84888   7908   1564  45980  288  488   288   516 4704 7443 35 17 21 27
 1  0  84832   8220   1596  45816  560  640   592   640 4629 7510 40 31 19 10
 0  0  84428   8008   1596  45988  384    0   384     0 3643 7151 42 20 38  0
 4  1  83964   7044   1588  45988  256  152   256   152 3904 7376 35 19 38  8
 2  0  84172   8092   1576  45476  416  748   416   748 4300 6644 43 26 24  6
 0  0  83912   8084   1588  45612  204    0   208    28 3584 7581 35 16 49  0
 0  1  82940   6796   1588  45824  536    0   536     0 3736 7732 39 19 37  5
 4  1  82580   7976   1540  45076  320  736   488   736 5879 8050 40 27 13 20
 2  0  82224   8224   1540  44988  224    0   224     0 3823 7525 41 22 32  4
 1  1  81700   7108   1540  44944  576   24   576    24 3954 7555 41 24 30  5
 2  1  81628   7388   1548  44320  448  384   448   428 4561 7870 36 18 28 18
 4  1  80124   8224   1512  43308  508  512   512   512 4466 7318 37 18 28 17
 0  0  79748   8596   1416  43316  416  140   420   140 3782 7766 33 16 49  2
 0  0  79564   8396   1416  43436  160    0   160     0 3456 6757 32 12 56  0
 0  0  79216   8056   1416  43544  392    0   392     0 3523 5550 26 16 58  0
 5  1  78624   7148   1332  43380  380   92   380   120 3466 4728 27 17 49  7
 6  0  78704   8264   1144  43024   96  268   100   268 3447 4114 25 19 29 27
 0  1  78112   7148   1052  43040  608    0   608     0 2940 3423 24 15 55  6
 0  1  78556   8420    452  42572  160  568   160  1740 2839 2588 20 10 30 40
 0  0  78172   8172    452  42620  384    0   384     0 1381 1432 20 10 66  3
 0  0  77972   7676    460  42628  192    0   192    36  861  884 15  7 78  0
 0  1  77748   7304    460  42648  252    0   252     0  559  473 13  3 79  4
 0  2  77792   6492    500  41496   64  140  1540  3788 1864  689 12  3 42 44
MEDIA
NR:  69 CPU:  49.1045
