procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
 r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 10333108 209852 4600400    0    0    17    31  240  200  4  4 92  0  0
 2  0      0 10214480 209868 4600064    0    0     0   224 2872 11287 26  5 69  0  0
 0  0      0 9913064 209868 4600092    0    0     0     0 2987 17192 41  4 56  0  0
 1  0      0 9877152 209868 4600104    0    0     0     0 3633 5732 19  3 78  0  0
 7  0      0 9871524 209868 4600116    0    0     0     0 4575 9820 17  9 74  0  0
 8  0      0 9862620 209868 4600184    0    0     0     0 5593 11511 18 10 73  0  0
 1  0      0 9828872 209876 4600236    0    0     0   100 5618 13303 16 10 74  0  0
 0  0      0 9809468 209876 4600268    0    0     0  2764 7238 18428 21 13 67  0  0
 1  0      0 9792976 209876 4600320    0    0     0     0 6283 16059  8 18 74  0  0
 5  0      0 9776524 209876 4600384    0    0     0     0 6542 17005 14 16 70  0  0
 3  0      0 9748576 209876 4600472    0    0     0     0 6495 18377 14 18 67  0  0
 1  0      0 9738684 209884 4600572    0    0     0    68 6729 16844  7 22 71  0  0
 1  0      0 9710832 209884 4600648    0    0     0     0 7484 19978 13 27 60  0  0
 2  0      0 9690184 209884 4600732    0    0     0     0 7533 19169 13 24 63  0  0
 3  0      0 9666916 209884 4600836    0    0     0     0 7656 19774 16 22 62  0  0
 1  0      0 9612788 209884 4601000    0    0     0     0 7226 18014 18 25 56  0  0
 3  0      0 9584936 209892 4601076    0    0     0    32 7637 19131 30 28 42  0  0
 3  0      0 9570468 209892 4601200    0    0     0  2268 9189 20899 15 26 59  0  0
 3  0      0 9565296 209892 4601288    0    0     0     0 6439 16313 13 24 63  0  0
 5  0      0 9513436 209892 4601372    0    0     0     0 6392 16026  8 20 72  0  0
 4  0      0 9450944 209892 4601464    0    0     0     0 7308 18925  8 24 68  0  0
 2  0      0 9404800 209900 4601572    0    0     0    28 7674 19784  9 22 69  0  0
 5  0      0 9404188 209900 4601652    0    0     0     0 7872 21264  4 21 75  0  0
 6  0      0 9393100 209900 4601724    0    0     0     0 8300 21303 10 28 62  0  0
 2  0      0 9392716 209900 4601820    0    0     0     0 7590 19176  6 29 65  0  0
 1  0      0 9391732 209900 4601936    0    0     0     0 8255 21182  4 26 69  0  0
 4  0      0 9388012 209908 4602036    0    0     0    28 8169 21414  7 25 68  0  0
 1  0      0 9381884 209908 4602116    0    0     0     0 7490 19004  6 28 66  0  0
 3  0      0 9352120 209908 4602220    0    0     0     0 8396 21318  5 24 71  0  0
 1  0      0 9296704 209908 4602300    0    0     0     0 7032 17398  6 27 66  0  0
 1  0      0 9232664 209908 4602452    0    0     0     0 8201 20422  6 27 67  0  0
 5  0      0 9171916 209916 4602532    0    0     0    28 7346 18460  8 26 66  0  0
 3  0      0 9140808 209916 4606492    0    0     0 12760 9434 21508  9 25 66  0  0
 0  0      0 9139964 209916 4607056    0    0     0     0 7701 20241  7 25 68  0  0
 0  0      0 9140068 209916 4607200    0    0     0     0 7866 21331  4 23 72  0  0
 1  0      0 9139580 209916 4607292    0    0     0     0 7750 20576  4 23 73  0  0
 2  0      0 9140692 209924 4607392    0    0     0    52 6891 16245  5 19 76  0  0
 2  0      0 9140124 209924 4607456    0    0     0     0 8487 22123  5 25 70  0  0
 1  0      0 9138724 209924 4607584    0    0     0     0 8427 22109  3 23 74  0  0
 3  0      0 9136240 209924 4608320    0    0     0     0 7290 19043  3 21 76  0  0
 4  0      0 9130852 209924 4608456    0    0     0     0 10490 25580  6 27 68  0  0
 1  0      0 9107992 209932 4608544    0    0     0    32 8788 20432  8 24 68  0  0
 3  0      0 9107648 209932 4608648    0    0     0     0 8222 22744  8 27 65  0  0
 1  0      0 9107300 209932 4608856    0    0     0     0 8730 22736  4 23 73  0  0
 3  0      0 9107452 209932 4608936    0    0     0     0 8055 19105  3 20 77  0  0
 3  0      0 9106944 209932 4609052    0    0     0     0 8809 20679  7 28 65  0  0
 1  0      0 9106032 209940 4609168    0    0     0    24 7216 18535  5 28 67  0  0
 0  0      0 9106428 209940 4609232    0    0     0     0 6914 18663  5 23 72  0  0
 2  0      0 9105980 209940 4609328    0    0     0     0 7908 18214  6 29 65  0  0
 2  0      0 9104320 209940 4609436    0    0     0     0 7603 20265  5 21 74  0  0
 4  0      0 9103240 209940 4609544    0    0     0     0 7734 20522  5 22 74  0  0
 6  0      0 9099452 209948 4609632    0    0     0    36 9586 21328 10 25 65  0  0
 2  0      0 9105216 209948 4609752    0    0     0     0 8656 22284  7 27 67  0  0
 6  0      0 9118176 209948 4609928    0    0     0     0 8104 21152  5 27 68  0  0
 5  0      0 9135072 209948 4610044    0    0     0     0 8985 23042  3 22 74  0  0
 3  0      0 9156716 209948 4610176    0    0     0     0 8472 21372  4 22 74  0  0
 1  0      0 9184316 209956 4610284    0    0     0    32 8720 22437  5 21 73  0  0
 2  0      0 9207896 209956 4610388    0    0     0     0 7804 20983  4 20 76  0  0
 3  0      0 9230884 209956 4610480    0    0     0 15908 7510 18508  3 20 77  0  0
 3  0      0 9252392 209956 4610556    0    0     0     0 7067 18009  3 20 77  0  0
 1  0      0 9276372 209956 4610672    0    0     0     0 6964 16880  4 19 77  0  0
 2  0      0 9294868 209964 4610724    0    0     0    48 5763 14044  2 19 79  0  0
 1  0      0 9312168 209964 4611824    0    0     0     0 5808 12381  2 17 81  0  0
 1  0      0 9323748 209964 4611992    0    0     0     0 4044 8143  2 16 82  0  0
 1  0      0 9329176 209964 4612004    0    0     0     0 2934 4827  1 13 85  0  0
 1  0      0 9330760 209964 4612028    0    0     0     0 1689 2522  2  8 91  0  0
 1  0      0 9331552 209972 4612044    0    0     0   184 1957 3593  4  7 90  0  0
 1  0      0 10314668 209988 4615420    0    0     0   100 3172 4295  4  8 89  0  0
 0  0      0 10314904 209988 4615636    0    0     0     0  813 1277  1  2 98  0  0
MEDIA
NR:  71 CPU:  28.7246
