10 4930 1013 5820 1024
20 5885 1173 6699 1215
30 10421 2179 9214 1693
40 27751 2379 43835 2274
50 92637 4230 64363 3621
320 42295889 148794 13689912 249859
324 49102148 152408 10984420 195355
328 51187005 156212 11451035 262384
332 52257158 159871 11791511 204494
336 52168055 163802 12801323 275224
340 56054448 167590 12743874 213562
344 58598982 171466 13172641 222509
348 60866151 175535 13783859 295055
352 57128862 179549 15967595 233219
640 355202134 591983 143567949 920177
648 394987387 606710 94997475 948364
656 400139455 621632 102301726 976376
664 424909695 636791 102312978 1071796
672 417597012 651974 117977220 1030968
680 455190456 667615 110212073 1123834
688 461879150 683076 118309639 1089163
696 488196392 698926 118336818 1117797
704 477176946 714929 155053031 1146474
