procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
 r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 10148188 218644 4796976    0    0    15    33  257  273  4  5 91  0  0
 8  0      0 10022888 218660 4796800    0    0     0   220 2517 9316 26  6 68  0  0
 0  0      0 9996932 218660 4796804    0    0     0     0 1054 2449  6  2 92  0  0
 0  0      0 9996932 218660 4796804    0    0     0     0  802 1305  1  2 98  0  0
 2  0      0 9996144 218660 4796804    0    0     0     0 1333 1641  1 11 87  0  0
 2  0      0 9995892 218660 4796804    0    0     0     0 2476 3864  0 27 72  0  0
 1  0      0 9996396 218668 4796804    0    0     0   172 2194 2097  2 18 80  0  0
 1  0      0 9996396 218668 4796804    0    0     0     0 1801 1807  0 13 87  0  0
 2  0      0 9996396 218668 4796788    0    0     0     0 2834 1853  1 21 78  0  0
 1  0      0 9996144 218668 4796796    0    0     0     0 3300 3321  0 22 78  0  0
 0  0      0 9996144 218668 4796796    0    0     0     0 1753 1658  0 11 89  0  0
 0  0      0 9995680 218676 4796796    0    0     0    40 1628 2630  2 10 88  0  0
 1  0      0 9995680 218676 4796796    0    0     0     0 2073 2761  1 20 80  0  0
 0  0      0 9995680 218676 4796796    0    0     0     0 2261 2166  1 17 82  0  0
 0  0      0 9995680 218676 4796796    0    0     0     0 1069 1613  1  6 93  0  0
 0  0      0 9995680 218676 4796796    0    0     0     0 1156 1675  1  7 92  0  0
 0  0      0 9995680 218684 4796788    0    0     0    28 1185 1714  1  6 94  0  0
 2  0      0 9995680 218684 4796788    0    0     0     0 1199 1621  1  6 94  0  0
 0  0      0 9995680 218684 4796796    0    0     0     0 1440 2136  1  7 92  0  0
 0  0      0 9995680 218684 4796800    0    0     0     0 1068 1649  1  6 94  0  0
 0  0      0 9995680 218684 4796800    0    0     0     0 1185 1732  1  6 93  0  0
 0  0      0 9995680 218684 4796800    0    0     0     0 1060 1443  0  7 93  0  0
 0  0      0 9995428 218692 4796800    0    0     0  1036 1087 1616  1  6 94  0  0
 0  0      0 9995428 218692 4796800    0    0     0     0 1359 1748  1  8 91  0  0
 1  0      0 9995428 218692 4796800    0    0     0     0  914 1505  1  4 95  0  0
 0  0      0 9995428 218692 4796800    0    0     0     0 1034 1598  1  5 94  0  0
 1  0      0 9995428 218692 4796800    0    0     0     0  961 1482  0  5 95  0  0
 0  0      0 9995428 218700 4796800    0    0     0   440 1311 1895  1  7 92  0  0
 0  0      0 9995428 218700 4796800    0    0     0     0 1011 1475  0  6 94  0  0
 0  0      0 9993160 218700 4796800    0    0     0     0 1097 1640  1  6 93  0  0
 0  0      0 9993160 218700 4796800    0    0     0     0  924 1354  1  5 94  0  0
 0  0      0 9993160 218700 4796800    0    0     0     0 1182 1748  1  7 93  0  0
 0  0      0 9993160 218708 4796800    0    0     0    88 1075 1449  1  6 94  0  0
 0  0      0 9993160 218708 4796800    0    0     0     0 1001 1505  1  5 94  0  0
 0  0      0 9993160 218708 4796800    0    0     0     0 1084 1694  1  6 93  0  0
 0  0      0 9993160 218708 4796800    0    0     0     0  894 1341  1  5 94  0  0
 0  0      0 9993160 218708 4796800    0    0     0     0 1007 1708  1  5 94  0  0
 0  0      0 9993160 218716 4796800    0    0     0   128 1149 1582  1  6 93  0  0
 0  0      0 9993160 218716 4796804    0    0     0     0 1009 1561  0  6 94  0  0
 0  0      0 9993160 218716 4796812    0    0     0     0 1121 1655  1  6 93  0  0
 1  0      0 9993160 218716 4796812    0    0     0     0 1128 1637  1  5 94  0  0
 2  0      0 9993160 218716 4796812    0    0     0     0 1132 1748  1  5 94  0  0
 1  0      0 9991900 218724 4796804    0    0     0    32 1183 1655  1  6 93  0  0
 0  0      0 9991648 218724 4796852    0    0     0     0 1102 1662  1  6 94  0  0
 0  0      0 9991648 218724 4796852    0    0     0     0 1071 1668  1  5 94  0  0
 0  0      0 9991648 218724 4796852    0    0     0     0 1065 1541  1  7 93  0  0
 0  0      0 9991648 218724 4796852    0    0     0     0 1041 1544  1  6 94  0  0
 0  0      0 9991648 218732 4796852    0    0     0    20 1279 1919  1  7 92  0  0
 0  0      0 9991648 218732 4796852    0    0     0     0 1090 1615  1  5 94  0  0
 1  0      0 9991396 218732 4796852    0    0     0     0 1020 1629  1  4 95  0  0
 1  0      0 9991396 218732 4796852    0    0     0     0 1025 1602  1  5 95  0  0
 1  0      0 9991396 218732 4796852    0    0     0     0 1050 1630  1  5 95  0  0
 2  0      0 10147456 218732 4796856    0    0     0   292 1562 2411  1  7 92  0  0
 0  0      0 10147172 218740 4796824    0    0     0    60 1177 1608  1  5 95  0  0
 0  0      0 10147172 218740 4796824    0    0     0     0  787 1371  1  2 97  0  0
MEDIA
NR:  57 CPU:  9.12727
