Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,10,179,17,52,52,1626,5,1626,"0,000%",",22100","0,43","0,00"
/P1-base/procesapago,10,140,42,58,58,1077,15,1077,"0,000%",",22652","0,28","0,00"
Total,20,160,23,58,1077,1626,5,1626,"0,000%",",41708","0,66","0,00"
