procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  77812  51636    652  40260    6    9    21    14  160  231  4  2 94  0
 0  0  77812  51700    652  40292    0    0     0     0   72   91  0  0 100  0
 0  0  77812  51700    652  40292    0    0     0     0   48   90  0  0 100  0
 0  0  77812  51700    652  40292    0    0     0     0   54   91  0  0 100  0
 4  0  77812  51700    652  40300    0    0     0     0  778  947  7  9 84  0
 2  0  77656  51452    660  40344  192    0   192    56 1510 2213 13 10 77  0
 0  0  77656  51452    660  40404    0    0     0     0 1753 2463 10 12 78  0
 0  0  77656  51296    660  40488    0    0     0     0 2687 4594 19 13 68  0
 1  0  77656  51172    660  40592    0    0     0     0 3296 5019 20 16 65  0
 5  0  77656  51048    660  40704    0    0     0     0 3137 5898 22 19 59  0
 2  0  77656  48992    668  40768    0    0    92    32 1454 2003 16 17 67  0
 3  0  77536  24356    700  43216  128    0  2436     0 1678 1791 43 13 44  1
 6  0  79696  19684    692  42900  464 2304   572  2304 4191 3498 77 23  0  0
 1  0  80880  19904    684  42260 1124 1760  1200  2592 2451 2149 79 17  4  0
 3  0  80780  20144    684  42344   64    0    64     0 1694 1258 78 18  5  0
 2  0  80512  19000    692  42416  264    0   264   100 2989 2626 73 21  6  0
 2  0  80260  19196    692  42616  260    0   260     0 3334 5813 62 18 20  1
 4  0  80180  19416    692  42780  112    0   112     0 3201 8071 35 17 49  0
 3  0  79532  17880    692  42944  680    0   680     0 3906 8180 48 19 33  0
 5  0  78700  16012    692  43244  948    0   948     0 3883 7758 49 24 28  0
 0  0  78488  15936    692  43348  224    0   224     0 2696 5977 41 19 40  0
 1  0  78408  13516    700  43380   64    0    64    28  736  785 24  6 70  0
 5  0  78288  13092    700  43476  128    0   128     0 2664 2381 72 17 11  0
 4  0  78084  12964    700  43680  256    0   256     0 4008 5148 73 22  4  0
 1  0  77352  14396    700  43756  708    0   708     0 2918 5322 38 20 42  0
 0  0  77204  13280    700  43952  160    0   160     0 3609 9254 40 19 41  0
 1  0  76748  12564    708  44164  416    0   416    44 3838 9125 40 21 40  0
 2  0  76152  11752    708  44356  608    0   608     0 3646 8759 37 16 46  0
 0  0  76004  11192    708  44540  192    0   192     0 4126 8104 41 27 33  0
 1  0  75512  10096    708  44764  512    0   512     0 4442 9434 42 20 38  0
 0  0  75208   9472    708  44944  352    0   352     0 2717 5377 32 15 53  0
 1  0  76816   8656    700  44064  460 1784   460  4592 2474 3737 26 14 60  0
 5  0  77128   8780    696  43744  536  760   536   760 1898 1617 73 13 13  1
 3  1  76972   7584    692  43576 1564  992  1620   992 3999 3730 67 20 10  2
 2  0  76784   9408    672  42988  160   20   160    20 3805 7555 45 20 28  7
 2  0  76668   9392    672  43096  160    0   160     0 2248 4632 23 13 64  0
 1  0  78380   8744    676  42748  408 1884   408  1932 2217 4672 23 11 58  7
 1  0  77912   7664    936  42856  792    0  1108     0 1083 1783 25  3 71  0
 2  0  79692   8616    924  42336  348 2044   348  2044 2494 1176 69 12  9 10
 2  0  80648   9196    944  41908  244 1080   264  1080 1979 1610 78 15  7  0
 2  0  80432   9408    948  42020  256    0   260     0 1825 1652 79 17  4  0
 2  0  80256   9100    956  42028  244    0   244    52 1301 1077 81 15  4  0
