Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,2500,5,4,12,15,28,1,58,"0,000%","43,09973","83,70","0,00"
/P1-base/procesapago,2500,13,9,28,33,47,3,75,"0,000%","43,09082","52,79","0,00"
Total,5000,9,7,22,29,43,1,75,"0,000%","83,20298","131,76","0,00"
