procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0  60908  49216   3116  51868    1    4    18     8  128  178  4  1 94  0
 0  0  60908  49240   3116  51872    0    0     0     0   87  104  0  0 100  0
 0  0  60908  49240   3116  51872    0    0     0     0   59  102  0  0 100  0
 0  0  60908  49240   3116  51872    0    0     0     4   80  102  1  0 99  0
 0  0  60908  49240   3116  51872    0    0     0     0  167  179  2  1 97  0
 2  0  60904  49240   3124  51880   64    0    64    68  318  339  4  3 92  0
 1  0  60880  49240   3124  51896   32    0    40     0  476  506  6  6 88  0
 2  0  60876  49272   3124  51872   32    0    32     0  671  614 10  7 83  0
 1  0  60868  49148   3124  51996   32    0   112     0  811  723 13 14 73  0
 0  0  60868  49148   3124  52012    0    0     0     0  913  891 12 11 78  0
 7  0  60868  49668   3132  52028    0    0     0    12  950  976 10 13 78  0
 3  0  60864  28524   3132  52080   64    0    64     0 1290 1617 27 11 62  0
 1  0  60864  21324   3132  52108    0    0     0     0 1542 1876 31  9 60  0
 0  0  60860  20828   3132  52132    0    0     0   132 1501 1761 17  7 75  0
 1  0  60860  20332   3132  52156    0    0     0     0 1443 1582 20 10 70  0
 0  0  60860  19960   3140  52184    0    0     0    72 1430 1758 17  7 76  0
 0  0  60860  19588   3140  52208    0    0     0     0 1385 1632 20  9 71  0
 0  0  60860  18844   3140  52232    0    0     0     0 1420 1675 17  7 76  0
 0  0  60860  17976   3140  52256    0    0     0     0 1457 1712 21 12 67  0
 0  0  60860  17604   3140  52284    0    0     0     0 1411 1490 21 12 66  0
 4  0  60860  16984   3148  52308    0    0     0    20 1401 1584 18 12 70  0
 2  0  60860  16612   3148  52332    0    0     0     0 1517 1777 22 10 68  0
 0  0  60860  15992   3148  52356    0    0    44     0 1363 1693 20 10 70  0
 2  0  60860  15372   3148  52424    0    0     0    60 1434 1708 20 11 70  0
 0  0  60856  15124   3148  52452    0    0     0     0 1268 1523 18  9 73  0
 1  0  60856  15000   3156  52476    0    0     0    20 1405 1581 20  7 73  0
 1  0  60848  14504   3156  52600    0    0    96     0 1512 1731 20 12 68  0
 0  0  60848  14380   3156  52620    0    0     0     0 1231 1393 17 10 73  0
 2  0  60844  13760   3156  52648   32    0    32     8 1540 1781 18 13 69  0
 0  0  60844  13388   3156  52672    0    0     0     0 1271 1437 19  8 73  0
 0  0  60844  12768   3164  52696    0    0     0    44 1403 1634 19 12 69  0
 2  0  60844  12396   3416  52728    0    0   252     0 1506 1622 19 14 67  0
 2  0  60844  11032   3416  52752    0    0     0     0 1398 1620 21 12 67  0
 0  0  60844  11156   3416  52776   64    0    64    16 1408 1674 17 11 72  0
 0  0  60844  11156   3416  52804    0    0     0     0 1378 1539 21 11 69  0
 0  0  60844  10412   3424  52828    0    0     0    40 1453 1658 17 12 71  0
 0  0  60844  10164   3424  52852    0    0     0     0 1318 1513 19 11 70  0
 1  0  60840   9420   3424  52876    0    0     0     0 1448 1727 22 13 66  0
 3  0  60840   9296   3424  52904    0    0     0     0 1380 1489 20 11 70  0
 0  0  60840   9048   3424  52928    0    0     0     0 1297 1414 20 13 67  0
 2  0  61476   8304   2928  51920    0  636     0   656 1948 1670 20 12 66  2
 1  0  61476   8428   2928  51944    0    0     0     0 1386 1500 18 12 70  0
 1  0  61476   7932   2928  51972    0    0     0     0 1449 1617 18 11 71  0
 1  0  62028   8552   2080  51576    0  556     0  1040 1709 1619 22  9 68  1
 0  0  62028   8304   2080  51604    0    0     0     0 1474 1745 19 10 71  0
 0  0  62028   8056   2088  51628    0    0     0    60 1317 1462 18  9 74  0
 0  0  62028   7560   2088  51652    0    0     0     0 1329 1475 22 12 66  0
 1  0  62348   8304   1456  51224    0  320     0   320 1696 1717 19 10 64  8
 0  0  62344   8304   1456  51216    0    0     0     0 1365 1444 19  9 72  0
 1  0  62344   7684   1456  51240    0    0     0     0 1523 1723 20 11 70  0
 0  0  62928   8312   1316  50492    0  584     0   616 1596 1567 18 13 69  1
 0  0  62928   8304   1316  50544    0    0    24     0 1307 1464 18 12 71  0
 2  0  62928   7684   1316  50568    0    0     0     0 1459 1666 18 11 70  0
 0  0  62928   7444   1316  50592    0    0     0     0 1405 1563 20 10 70  0
 0  0  63668   7312   1300  49976    0  740     0   740 1541 1446 22 10 67  0
 3  0  64044   8188   1308  49356    0  376     0   404 1184 1173 17 12 70  0
 1  0  64044   8560   1308  49372    0    0     0     0 1204 1255 19 10 71  0
 1  0  64044   8436   1308  49388    0    0     0     0 1011 1101 18  8 73  0
 0  0  64044   7576   1308  49404    0    0     0    44  937 1031 18 10 72  0
 1  0  64044   7444   1308  49412    0    0     0     0  836  914 15  6 79  0
 0  0  64656   8188   1316  48628    0  616     0   644  714  738 15  7 78  0
 0  0  64656   7668   1316  48660    0    0     0     0  564  613 14  5 81  0
 0  0  64656   7444   1316  48664    0    0     0     0  522  616 15  4 81  0
 0  0  64656   7444   1316  48664    0    0     0   696  379  452 13  1 85  0
MEDIA
NR:  66 CPU:  25.9531
