procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 259772  16668 153136    0    0   435     7  103  168  5  2 93  0
 0  0      0 259804  16668 153176    0    0     0     0   79  100  0  0 100  0
 0  0      0 259804  16668 153208    0    0     0     0   60   93  0  0 100  0
 0  0      0 259804  16668 153208    0    0     0     0   71  118  0  0 99  0
 2  0      0 253108  16680 153664    0    0   444     0  544  685 41  2 56  0
 2  0      0 233988  16680 165404    0    0 11776    16 1405 2842 93  6  0  2
 1  0      0 220100  16688 165436    0    0     0    72  605  245 55  4 42  0
 1  0      0 220100  16688 165436    0    0     0     0  535   95 50  0 50  0
 4  0      0 213960  16688 165660    0    0   264     0 1236 1835 77  3 20  0
 1  0      0 211960  16688 166176    0    0   468     8 1614 2075 65  3 33  0
 1  0      0 212292  16688 166176    0    0     4     0  361  146 28  1 72  0
 0  0      0 191924  16696 166272    0    0    60    88  831  959 21  6 73  0
 1  0      0 169788  16708 168596    0    0  2376     0 1081 1540 67  7 25  0
 0  0      0 167308  16708 168744    0    0   104     0  900 1639 51  3 46  1
 0  0      0 166780  16708 168744    0    0     0     0  349  595 16  1 83  0
 0  0      0 166532  16708 168744    0    0     0     0  392  682 19  1 79  0
 0  0      0 166036  16708 168748    0    0     0     0  396  745 16  1 83  0
 0  0      0 164548  16716 168748    0    0     0    28  391  755 17  1 82  0
 0  0      0 163804  16716 168748    0    0     0     4  589  949 18  2 80  0
 0  0      0 163028  16716 168748    0    0     0     0  395  689 15  1 84  0
 0  0      0 162532  16716 168748    0    0     0     0  370  618 17  1 82  0
 2  0      0 162004  16716 168748    0    0     0     0  410  624 19  1 79  0
 0  0      0 161252  16716 168748    0    0     0     0  390  900 15  1 84  0
 0  0      0 160352  16724 168748    0    0     0    20  425  731 21  2 78  0
 0  0      0 159856  16724 168748    0    0     0     0  278  499 11  1 88  0
 0  0      0 159360  16724 168748    0    0     0     0  267  477 14  0 86  0
 0  0      0 158988  16724 168748    0    0     0     0  322  513 15  1 84  0
 0  0      0 158096  16724 168748    0    0     0     0  385  825 17  2 81  0
 0  0      0 157724  16732 168748    0    0     0    20  256  426 16  1 83  0
 0  0      0 156980  16732 168748    0    0     0     0  274  428 13  1 86  0
 0  0      0 156608  16732 168748    0    0     0     0  248  368 15  0 84  0
 0  0      0 155492  16732 168748    0    0     0     0  342  554 18  2 79  0
 0  0      0 154872  16732 168748    0    0     0     0  273  549 15  2 83  0
 0  0      0 154500  16732 168748    0    0     0     0  247  653 12  1 87  0
 1  0      0 154376  16740 168748    0    0     0    20  265  370 14  1 86  0
 0  0      0 153756  16740 168748    0    0     0     0  223  380 14  0 85  0
 0  0      0 153260  16740 168748    0    0     0     0  291  429 12  1 87  0
 0  0      0 152300  16740 168748    0    0     0     0  343  548 16  1 82  0
 1  0      0 151928  16740 168748    0    0     0    68  272  389 16  1 82  0
 0  0      0 151052  16740 168748    0    0     0     0  239  451 14  0 86  0
 0  0      0 149284  16748 168748    0    0     0    32  247  416 13  2 85  0
 0  0      0 148144  16748 168748    0    0     0     0  291  394 14  1 85  0
 0  0      0 148120  16748 168748    0    0     0     0  326  521 18  1 81  0
 0  0      0 147252  16748 168748    0    0     0    40  268  396 15  2 84  0
 0  0      0 147012  16748 168748    0    0     0     0  252  380 12  1 87  0
 0  0      0 146764  16756 168740    0    0     0    56  304  411 17  1 82  0
 0  0      0 146136  16756 168748    0    0     0     0  266  378 17  1 83  0
 1  0      0 146020  16756 168748    0    0     0     0  356  503 18  2 80  0
 1  0      0 145788  16756 168748    0    0     0    16  269  398 12  1 87  0
 0  0      0 144912  16756 168748    0    0     0     0  254  401 11  1 88  0
 0  0      0 144780  16764 168740    0    0     0    32  262  395 11  1 88  0
 0  0      0 144392  16764 168748    0    0     0     0  241  393 12  1 87  0
MEDIA
NR:  54 CPU:  23.2115
