Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
P1-ejb,1000,6,5,10,13,24,2,33,"0,000%","161,08247","209,33","0,00"
Total,1000,6,5,10,13,24,2,33,"0,000%","161,08247","209,33","0,00"
