Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
P1-base,1000,10,7,22,30,57,3,62,"0,000%","92,83327","119,37","0,00"
P1-ws,1000,30,27,42,53,81,22,452,"0,000%","32,43383","42,09","0,00"
P1-ejb,1000,11,10,17,21,41,7,86,"0,000%","84,32414","64,90","0,00"
Total,3000,17,12,30,41,64,3,452,"0,000%","56,10938","62,71","0,00"
