Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
P1-ejb,1000,8,5,11,16,34,3,1695,"0,000%","118,04982","153,41","0,00"
Total,1000,8,5,11,16,34,3,1695,"0,000%","118,04982","153,41","0,00"
