Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
P1-base,1000,5,4,9,11,23,3,61,"0,000%","176,24251","226,62","0,00"
P1-ws,1000,31,27,41,53,87,24,586,"0,000%","31,93562","41,44","0,00"
P1-ejb,1000,10,9,16,20,43,6,67,"0,000%","90,66183","69,77","0,00"
Total,3000,15,9,29,37,62,3,586,"0,000%","62,47007","69,82","0,00"
