procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
 r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 10588712 205716 4426372    0    0    20    33  251  172  4  4 92  0  0
 1  0      0 10464924 205716 4426356    0    0     0    32 2554 9469 24  6 70  0  0
 0  0      0 10344160 205716 4426360    0    0     0     0 2009 7257 26  3 71  0  0
 1  0      0 10343908 205716 4426364    0    0     0     0 1648 2664  4  2 93  0  0
 3  0      0 10336908 205724 4426452    0    0     0   112 2673 6911 10  5 85  0  0
 0  0      0 10334144 205724 4426464    0    0     0     0 2708 5245  9  7 84  0  0
 2  0      0 10332604 205724 4426468    0    0     0     0 3099 7098 11  9 80  0  0
 0  0      0 10322468 205724 4426484    0    0     0     0 3581 7400 10 11 79  0  0
 4  0      0 10316052 205724 4426500    0    0     0     0 3693 8234 10 12 77  0  0
 2  0      0 10303392 205732 4426544    0    0     0    32 3853 8268  7 11 82  0  0
 1  0      0 10291900 205732 4426572    0    0     0     0 4019 8407  8 13 79  0  0
 2  0      0 10249960 205732 4426592    0    0     0     0 4183 8949  9 15 76  0  0
 2  0      0 10246416 205732 4426624    0    0     0     0 4645 10577  5 18 77  0  0
 0  0      0 10227448 205732 4426648    0    0     0     0 4626 10720  6 16 78  0  0
 0  0      0 10225668 205740 4426744    0    0     0    28 4800 11333  6 14 80  0  0
 0  0      0 10225612 205740 4426760    0    0     0     0 4651 10606  8 14 78  0  0
 2  0      0 10223840 205740 4426784    0    0     0  2112 5305 11836  3 17 79  0  0
 2  0      0 10221824 205740 4426884    0    0     0     0 4695 11062  4 17 79  0  0
 0  0      0 10221824 205740 4426908    0    0     0     0 4246 9516  4 16 80  0  0
 0  0      0 10221068 205748 4426952    0    0     0    64 4723 11213  3 16 81  0  0
 4  0      0 10217636 205748 4426984    0    0     0     0 4560 10542  4 16 79  0  0
 3  0      0 10218644 205748 4427008    0    0     0     0 4484 10760  3 15 82  0  0
 0  0      0 10215628 205748 4427024    0    0     0     0 4863 11016  3 18 78  0  0
 3  0      0 10211336 205748 4427052    0    0     0     0 4488 10207  3 15 81  0  0
 2  0      0 10209320 205756 4427112    0    0     0    24 4526 10733  2 16 82  0  0
 0  0      0 10193948 205756 4427136    0    0     0     0 4618 10537  5 17 79  0  0
 1  0      0 10179804 205756 4427164    0    0     0  2780 4947 10914  2 18 80  0  0
 0  0      0 10168000 205756 4427196    0    0     0     0 4684 11200  4 15 80  0  0
 3  0      0 10167740 205756 4427212    0    0     0     0 4534 10117  3 17 80  0  0
 1  0      0 10167748 205764 4427248    0    0     0    40 4971 12066  3 18 78  0  0
 1  0      0 10167268 205764 4427272    0    0     0     0 4585 10377  4 18 78  0  0
 1  0      0 10169796 205764 4427308    0    0     0     0 4568 10525  2 15 83  0  0
 3  0      0 10163992 205764 4427428    0    0     0     0 4401 10389  4 15 81  0  0
 0  0      0 10156180 205764 4427452    0    0     0     0 4783 11090 10 16 75  0  0
 4  0      0 10154920 205772 4427528    0    0     0    68 4951 13139 12 16 72  0  0
 4  0      0 10152904 205772 4427560    0    0     0     0 4758 11545  8 16 76  0  0
 2  0      0 10128964 205772 4427584    0    0     0     0 5030 13427 20 14 66  0  0
 0  0      0 10122916 205772 4427616    0    0     0     0 4396 10074  2 15 83  0  0
 2  0      0 10109560 205772 4428932    0    0     0     0 4778 10997  3 14 83  0  0
 2  0      0 10096456 205780 4428992    0    0     0    28 4716 10082  3 18 79  0  0
 0  0      0 10080328 205780 4429020    0    0     0     0 4949 11999  2 18 80  0  0
 3  0      0 10067476 205780 4430296    0    0     0     0 5012 10843  8 14 77  0  0
 3  0      0 10053364 205780 4430320    0    0     0     0 4181 9224  5 15 80  0  0
 2  0      0 10035472 205780 4430380    0    0     0     0 5049 12094  2 17 80  0  0
 3  0      0 10018840 205788 4432296    0    0     0    24 6107 10468  3 16 81  0  0
 3  0      0 10002460 205788 4432320    0    0     0     0 4751 11408  2 15 83  0  0
 0  0      0 9991624 205788 4432344    0    0     0     0 4672 10665  3 16 82  0  0
 0  0      0 9973480 205788 4434472    0    0     0     0 5422 10300  2 18 80  0  0
 5  0      0 9955580 205788 4434504    0    0     0     0 4884 11261  2 17 81  0  0
 2  0      0 9937972 205796 4434552    0    0     0    28 4691 10827  3 15 81  0  0
 0  0      0 9922696 205796 4434572    0    0     0     0 4259 9903  2 16 82  0  0
 1  0      0 9905156 205796 4435596    0    0     0     0 4892 10866  3 17 80  0  0
 0  0      0 9893164 205796 4435820    0    0     0     0 4566 10195  3 17 81  0  0
 4  0      0 9879484 205796 4436904    0    0     0     0 4735 11178  2 16 82  0  0
 4  0      0 9871728 205804 4436960    0    0     0    28 4714 10845  2 18 80  0  0
 2  0      0 9863372 205804 4436992    0    0     0     0 4087 8958  4 14 82  0  0
 0  0      0 9867696 205804 4438264    0    0     0     0 4807 9878  3 18 79  0  0
 0  0      0 9873364 205804 4438288    0    0     0  3276 4085 8014  2 16 82  0  0
 5  0      0 9882512 205804 4438316    0    0     0     0 3563 7277  2 16 82  0  0
 2  0      0 9889944 205812 4438876    0    0     0    48 3709 5953  1 18 80  0  0
 0  0      0 9896476 205812 4438892    0    0     0     0 2808 4938  1 16 82  0  0
 1  0      0 9901648 205812 4439692    0    0     0     0 3704 4869  3 16 81  0  0
 0  0      0 9904376 205812 4439696    0    0     0 11556 2228 3371  1 14 85  0  0
 0  0      0 9905008 205812 4439696    0    0     0     0 1577 2259  2  8 90  0  0
 0  0      0 10570888 205820 4439724    0    0     0   136 2043 5057  3  9 88  0  0
 0  0      0 10569800 205820 4443160    0    0     0     0 1173 2194  1  6 93  0  0
 1  0      0 10569800 205820 4443160    0    0     0     0  677 1145  1  2 98  0  0
MEDIA
NR:  69 CPU:  19.1791
