procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0  66552  52264   1304  47172    1    5    18     9  132  182  4  1 94  0
 0  0  66552  52312   1304  47164    0    0     0     0   79   94  0  1 99  0
 0  0  66552  52312   1304  47164    0    0     0     0   50   94  0  0 100  0
 0  0  66552  52312   1304  47164    0    0     0     0   67   99  1  0 100  0
 0  0  66552  52312   1312  47156    0    0     0    92  237  290  3  0 97  0
 0  0  66540  52188   1312  47156  128    0   128     0  575  689  9  4 87  0
 1  0  66540  52188   1312  47184    0    0     0     0  669  758  7 10 83  0
 3  0  66540  52188   1312  47200    0    0     0     0 1142 1321 10  7 82  0
 0  0  66540  52188   1312  47224    0    0     0     0 1225 1465  9  9 82  0
 0  0  66540  52064   1320  47240    0    0     0    20 1472 1656 12 10 78  0
 1  1  66540  51364   1336  47364    0    0    72     0 1570 1966 13 11 76  0
 3  0  66536  31020   1380  47692   32    0   388     0 1978 2541 25  9 65  0
 0  0  66536  23952   1380  47808    0    0    48     0 2405 3391 32 12 57  0
 0  0  66532  23208   1380  47832   32    0    32     0 2239 2708 23 13 64  0
 0  0  66532  22356   1388  47900    0    0     0    72 2353 2932 21 14 64  0
 2  0  66532  21968   1388  47960    0    0     0     0 2126 2559 22 11 67  0
 0  0  66532  21472   1388  48008    0    0     0     0 2468 3057 23 12 64  0
 5  0  66528  20488   1388  48008  288    0   288     0 2290 2766 25 14 61  0
 0  0  66528  19984   1388  48112    0    0     0     0 2143 2596 18 14 67  0
 0  0  66524  18884   1396  48152    0    0     0    20 2452 2985 24 12 64  0
 2  0  66524  18628   1396  48212    0    0     0     0 2265 2875 21 14 65  0
 0  0  66524  17636   1396  48260    0    0     0     0 2485 3004 21 13 66  0
 3  0  66524  17008   1396  48528   84    0   264     0 2245 2728 25 16 59  0
 0  0  66524  16272   1396  48540    0    0     0     0 2355 2861 22 11 68  0
 3  0  66524  15908   1404  48584    0    0     0    20 2469 2991 22 12 66  0
 0  0  66524  15768   1404  48644    0    0     0     0 2368 2761 24 13 62  0
 1  0  66524  15536   1404  48696    0    0     0     0 2328 2759 22 11 66  0
 6  0  66524  15164   1404  48744    0    0     0     0 2314 2845 21 12 67  0
 0  0  66524  14536   1404  48792    0    0     0     0 2360 2860 22 14 64  0
 0  0  66524  14040   1412  48836    0    0     0    20 2369 2974 22 15 63  0
 2  0  66520  13280   1412  48936   64    0    64     0 2243 2709 26 15 59  0
 0  0  66520  12420   1412  48944    0    0     0     0 2326 2799 24 11 65  0
 3  0  66508  11816   1412  49012   96    0   160     0 2260 2949 20 10 69  0
 2  0  66508  10948   1412  49112    0    0     0    60 2325 2852 22 11 67  0
 2  0  66508  10924   1420  49156    0    0     0    48 2309 2867 22 12 66  0
 2  0  66496  10544   1420  49228   96    0    96     0 2475 3049 28 10 62  0
 0  0  66496  10304   1420  49264    0    0     0     0 2214 2772 20 11 69  0
 1  0  66496   9320   1420  49312    0    0     0     0 2321 2747 20 15 65  0
 4  0  66496   8948   1424  49360    0    0     4  1264 2257 2863 20 11 68  0
 0  0  66488   7816   1432  49392   32    0    32    32 2207 2681 24 15 61  0
 0  0  66488   7584   1432  49468    0    0     0     0 2538 3145 25 14 61  0
 0  0  67700   8584   1432  48824    0 1212     0  1212 2634 2686 18  9 67  7
 1  0  67700   8436   1432  48804    0    0     0     0 2052 2401 23 14 63  0
 0  0  67700   7460   1432  48848    0    0     0    40 2659 3400 25 16 60  0
 1  0  69456   8352   1384  48128    0 1756     0  1812 3706 2508 23 12 60  5
 3  0  69456   8104   1384  48200    0    0     0     0 2550 3101 22 13 65  0
 0  0  69456   7848   1384  48256    0    0     0     0 2256 2851 23 14 63  0
 0  0  71520   8476   1384  47508    0 2068     0  2068 3109 2732 22 15 57  6
 1  0  71520   8500   1392  47604    0    0     8     0 2437 2988 21 14 65  0
 0  0  71520   8500   1400  47660    0    0     0    32 2252 2681 22 12 66  0
 0  0  71520   7756   1400  47716    0    0     0     0 2315 2976 24 14 62  0
 0  0  72700   8500   1384  47240    0 1180     0  1180 2661 2981 22 13 60  5
 0  0  72696   8360   1384  47360   96    0    96     0 2117 2442 22 12 65  0
 3  0  73708   8376   1384  47072    0 1012     0  1012 2434 3029 23 14 63  0
 0  0  73708   7996   1392  47060    0    0     0    28 2217 2591 22 14 64  0
 0  0  73708   7748   1392  47112    0    0     0     0 1906 2300 22 11 67  0
 0  0  74900   8624   1392  46524    0 1192     0  1192 2395 2295 23 13 62  2
 0  0  74900   7996   1392  46548    0    0     0     0 1586 1782 20 12 68  0
 0  0  74896   7632   1392  46576    0    0     0     0 1618 1846 18 13 69  0
 1  0  75400   8432   1400  45924    0  504     0   532 1707 1415 21 14 65  0
 0  0  75384   7472   1400  45928  268    0   268     0 1063 1186 18  9 73  0
 0  0  76196   8456   1400  45040    0  812     0   812 1742  948 17  9 71  3
 0  0  76196   8812   1404  44976    0    0     4     0  584  630 16  5 79  0
 0  0  76196   8448   1404  44984    0    0     0    16  395  456 12  2 86  0
 1  0  78284  10128   1444  43192    0 2088   364  3456  535  763 13  3 81  3
MEDIA
NR:  67 CPU:  30.0462
