Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,5000,5,3,12,20,42,0,72,"0,000%","86,79350","168,57","0,00"
/P1-base/procesapago,5000,10,7,22,29,50,3,87,"0,000%","86,27681","105,72","0,00"
Total,10000,8,5,17,26,46,0,87,"0,000%","165,88700","262,73","0,00"
