Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,20000,979,179,3070,4532,15347,1,31489,"0,025%","213,14690","414,14","0,00"
/P1-base/procesapago,20000,898,178,2561,4025,15318,3,31464,"0,015%","211,76570","259,85","0,00"
Total,40000,938,178,3039,4116,15339,1,31489,"0,020%","414,52495","657,03","0,00"
