procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
 r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 10500996 206108 4525612    0    0    20    33  257  191  4  5 91  0  0
10  0      0 10373744 206108 4525408    0    0     0  1140 2609 9541 24  6 70  0  0
 2  0      0 10112112 206108 4525420    0    0     0     0 2879 13943 40  4 56  0  0
 0  0      0 10110348 206116 4525516    0    0     0   128 3140 4754 11  4 85  0  0
 3  0      0 10087268 206116 4525528    0    0     0     0 3842 9133 19  6 74  0  0
 0  0      0 10081824 206116 4525552    0    0     0     0 4241 8119 11  7 82  0  0
 2  0      0 10074168 206116 4525588    0    0     0  2940 4883 10283 14 10 77  0  0
 2  0      0 10056752 206116 4525624    0    0     0     0 5660 14174 12 12 76  0  0
 2  0      0 10042016 206124 4525664    0    0     0    32 5812 15146 14 12 74  0  0
 3  0      0 10028676 206124 4525740    0    0     0     0 6455 17916 11 16 73  0  0
 0  0      0 10012460 206124 4525784    0    0     0     0 5862 16430 12 15 72  0  0
 3  0      0 10013640 206124 4525848    0    0     0     0 6847 18101  7 22 71  0  0
 4  0      0 9991448 206124 4525920    0    0     0     0 5908 16472  7 22 71  0  0
 6  0      0 9966596 206132 4525968    0    0     0    60 5366 12733 10 21 69  0  0
 3  0      0 9919532 206132 4526068    0    0     0     0 6193 15529  9 24 67  0  0
 0  0      0 9865092 206132 4526144    0    0     0     0 7289 18633 15 22 64  0  0
 3  0      0 9868488 206132 4526192    0    0     0  7440 6462 16557  5 24 72  0  0
 2  0      0 9862696 206132 4526280    0    0     0     0 7715 19747 20 21 59  0  0
 4  0      0 9860572 206140 4527604    0    0     0    44 6362 17208  7 18 75  0  0
 3  0      0 9844852 206140 4527688    0    0     0     0 6886 17740 24 22 54  0  0
 2  0      0 9831292 206140 4527768    0    0     0     0 7006 17615 13 24 63  0  0
 4  0      0 9795288 206140 4527840    0    0     0     0 6815 17883 13 22 65  0  0
 1  0      0 9745872 206140 4527916    0    0     0     0 7062 18601  8 21 70  0  0
 3  0      0 9742904 206148 4527988    0    0     0    24 6725 18118  8 18 74  0  0
 4  0      0 9740644 206148 4528092    0    0     0     0 6837 17597  6 22 72  0  0
 3  0      0 9740536 206148 4528168    0    0     0     0 7120 18198  3 23 74  0  0
