Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
P3,1000,17,11,26,32,55,5,1949,"0,000%","53,83580","73,89","0,00"
Total,1000,17,11,26,32,55,5,1949,"0,000%","53,83580","73,89","0,00"
