Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,22500,14800,5624,31597,51937,125594,1,381634,"17,200%","43,27481","86,00","0,00"
/P1-base/procesapago,22500,14642,6047,31595,47821,104693,3,380815,"17,711%","43,23390","57,90","0,00"
Total,45000,14721,5843,31596,48754,114773,1,381634,"17,456%","86,10166","143,21","0,00"
