procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
 r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 10267040 210808 4634344    0    0    17    31  244  219  4  4 92  0  0
 8  0      0 10149136 210808 4633884    0    0     0    32 2517 9643 26  5 69  0  0
 2  0      0 9840152 210808 4633936    0    0     0     0 3040 18896 40  4 55  0  0
 3  0      0 9766896 210808 4633956    0    0     0     0 3997 7834 16  3 81  0  0
 0  0      0 9758344 210816 4634088    0    0     0    96 5244 12236 16  7 77  0  0
 2  0      0 9720272 210816 4634196    0    0     0     0 6909 16840 22 10 68  0  0
 1  0      0 9686596 210816 4634252    0    0     0     0 6169 16753 17 10 74  0  0
 1  0      0 9662224 210816 4634336    0    0     0  5700 7841 20245 10 17 73  0  0
 3  0      0 9631064 210816 4634424    0    0     0     0 6994 18436 15 20 65  0  0
 5  0      0 9598792 210824 4634504    0    0     0    40 7049 17938 19 24 57  0  0
 2  0      0 9566792 210824 4634656    0    0     0     0 8769 22762 16 25 59  0  0
 5  0      0 9531844 210824 4634744    0    0     0     0 8337 21211 20 29 51  0  0
 2  0      0 9433104 210824 4634788    0    0     0     0 7682 19768 23 27 51  0  0
10  0      0 9418988 210824 4634932    0    0     0     0 8528 21170 20 28 52  0  0
 4  0      0 9395768 210832 4635056    0    0     0    28 9184 22959 23 29 48  0  0
 8  0      0 9348068 210832 4635196    0    0     0     0 8950 21309 40 29 32  0  0
 4  0      0 9373196 210832 4635312    0    0     0     0 9343 23680 10 29 62  0  0
 2  0      0 9365552 210832 4635480    0    0     0  7612 9485 24292  5 26 69  0  0
 0  0      0 9284788 210832 4635556    0    0     0     0 7208 19438 12 20 68  0  0
 3  0      0 9285216 210840 4635684    0    0     0    28 9556 24896  5 27 68  0  0
 2  0      0 9284288 210840 4635824    0    0     0     0 8674 23275  4 27 69  0  0
 1  0      0 9283388 210840 4635924    0    0     0     0 7029 19494  7 26 67  0  0
 1  0      0 9250940 210840 4635996    0    0     0   196 4002 10452  6 16 78  0  0
 1  0      0 9233620 210840 4636348    0    0     0     0 3384 5781  7 13 80  0  0
 1  0      0 9225472 210848 4636640    0    0     0    48 2497 2888  4  6 90  0  0
 2  0      0 9223352 210848 4636796    0    0     0     0 2483 2346  1  5 94  0  0
 3  0      0 9221812 210848 4636852    0    0     0     0 2407 1976  1  5 94  0  0
 3  0      0 9221772 210848 4636876    0    0     0   192 2328 1819  1  5 95  0  0
 3  0      0 9221620 210848 4636880    0    0     0     0 2689 2924  1  5 93  0  0
 3  0      0 9221468 210856 4636880    0    0     0    48 2357 1869  1  3 96  0  0
 3  0      0 9221428 210856 4636880    0    0     0     0 2315 1710  1  3 96  0  0
 3  0      0 9221428 210856 4636896    0    0     0     0 2362 1972  1  4 95  0  0
 4  0      0 9221428 210856 4636896    0    0     0     0 2603 2300  0  0 100  0  0
 4  0      0 9221428 210856 4636896    0    0     0    48 2712 2538  0  0 99  0  0
 4  0      0 9221428 210864 4636896    0    0     0    40 2779 2670  0  1 99  0  0
 4  0      0 9221428 210864 4636900    0    0     0     0 2756 2676  0  0 99  0  0
 4  0      0 9221428 210864 4636900    0    0     0     0 2786 2776  0  1 99  0  0
 4  0      0 9221428 210864 4636900    0    0     0     0 2770 2694  0  0 100  0  0
