procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  78284  55856   1448  43116    1    5    18    10  139  190  5  1 94  0
 0  0  78284  55900   1448  43140    0    0     0     0   82   98  0  0 99  0
 0  0  78284  55900   1448  43140    0    0     0     0   57   95  0  0 100  0
 0  0  78284  55900   1456  43136    0    0     0    92   74  113  0  1 99  0
 3  0  78284  55900   1456  43140    0    0     0     0  352  409  4  2 93  0
 1  0  78284  55900   1456  43160    0    0     0     0  722  892  6  9 84  0
 1  0  78284  55900   1456  43176    0    0     0     0  933 1123 10  7 84  0
 3  0  78284  55776   1456  43208    0    0     0     0 1657 2016 11 12 77  0
 1  0  78284  55776   1456  43244    0    0     0     0 1761 2073 14 12 74  0
 0  0  78284  55776   1464  43288    0    0     0    16 2016 2491 16 16 68  0
 7  0  78284  55224   1464  43636    0    0   304     0 2131 2892 17 18 65  0
 1  0  78284  33004   1464  45360    0    0  1628     0 2702 3686 30 16 54  0
 2  0  78284  25872   1464  45428    0    0     0     0 3066 4012 40 14 46  0
 0  0  78280  25284   1464  45508    0    0     0     0 3207 4492 26 15 59  0
 0  0  78268  24540   1472  45584   64    0    64    68 3050 4065 26 13 60  0
 2  0  78264  24076   1472  45656    0    0     0     0 3133 4150 26 16 57  0
 4  0  78264  23580   1472  45732    0    0     0     0 3154 4197 22 12 66  0
 0  0  78264  22092   1472  45812    0    0     0     0 3036 4028 23 15 62  0
 1  0  78260  21596   1472  45884   32    0    32     0 3294 4215 29 15 56  0
 1  0  78252  20852   1480  45968   32    0    32    36 3233 4125 24 14 62  0
 0  0  78252  20604   1480  46036    0    0     0     0 3017 3823 27 14 58  0
 1  0  78252  19612   1480  46116    0    0     0     0 3165 4203 24 17 59  0
 1  0  78248  19116   1480  46188    0    0     0     0 2985 3981 22 17 61  0
 1  0  78248  18372   1480  46260    0    0     0     0 3333 4642 25 14 62  0
 1  0  78248  18000   1488  46340    0    0     0    20 2964 4075 23 14 63  0
 0  0  78248  17256   1488  46412    0    0     0     0 3199 4376 25 12 64  0
 1  0  78244  16884   1488  46488   32    0    32     0 2913 3751 24 14 62  0
 2  0  78244  16232   1496  46556    0    0     8     0 3159 4338 25 13 61  0
 0  0  78244  15644   1496  46640    0    0     0     0 3043 4162 25 17 58  0
 3  0  78244  15024   1504  46716    0    0     0    20 2854 3908 27 19 54  0
 1  0  78244  14652   1504  46788    0    0     0     0 3252 4346 26 14 60  0
 0  0  78240  13784   1504  46868    0    0     0     0 3300 4241 24 15 60  0
 0  0  78240  12792   1504  46944    0    0     0     0 2826 3684 26 14 60  0
 0  0  78176  12048   1504  47016  220    0   220    12 3119 3978 28 17 55  0
 0  0  78172  11552   1512  47096    0    0     0    44 2983 4072 26 14 61  0
 0  0  78164  10932   1512  47164    0    0     0     0 3238 4271 26 12 61  0
 1  0  78164  10188   1512  47248    0    0     0     0 3162 4451 23 13 64  0
 0  0  78164   9444   1512  47320    0    0     0     0 2835 3764 23 17 60  0
 1  0  78160   9072   1512  47396    0    0     0   772 3050 4256 27 19 55  0
 2  0  78160   8452   1520  47476    0    0     0    28 2888 3719 26 14 60  0
 1  0  78852   8320   1520  45440  168  720   168   720 4876 4487 25 15 54  6
 0  0  78840   8336   1520  45576   64    0    64     0 2995 3998 21 13 66  0
 0  0  78840   7792   1520  45652    0    0     0     0 2747 3664 25 18 57  0
 0  0  79360   8172   1520  44440    0  520     0   560 3667 4285 27 16 50  8
 3  0  77732   6572    464  35680 21316 9164 21432 11572 5695 5018  8 26 37 29
 2  1  76632   6556    356  25056 31232 19256 31488 19656 5582 4118 14 21 32 33
 2  1  68244   6844     84  13404 20612 9680 20736 10064 4737 4171 19 18 26 38
 2  0  69952   7464     88  13696  256 1828   752  1828 4015 4330 53 13 32  3
 1  0  71556   8348     88  13704  112 1676   140  1676 3130 4267 43 11 41  4
 2  0  71400   7976     96  13868  160    0   224    36 3074 4486 42 12 45  0
 1  0  71396   7504     96  14096   16    0   196     0 3036 4038 25 16 58  0
 1  0  71396   7504     96  14164    0    0     0     0 3085 4009 24 13 63  0
 1  0  73196   8264     96  14128    0 1800     0  1800 3403 4499 27 17 56  1
 2  0  75112   8388    576  15904    4 1916  2388  1920 3786 4091 23 14 62  1
 2  0  76112   8264    584  15876   96 1300    96  1380 3656 4080 29 19 52  0
 0  0  76080   7768    584  15992  124    0   124     0 2986 3785 25 14 61  0
 4  0  76068   7892    584  16032    0    0     0     0 2646 3619 22 16 62  0
 1  0  75964   7884    584  16104   24    0    24     0 3003 3881 26 14 61  0
 0  1  76716   7748    584  16068   32  764    32   764 3123 2998 22 15 44 19
 1  0  77400   8376    592  15968    0  684     0   712 2405 2480 21 13 57  9
 0  0  77376   8376    592  16140    0    0   104     0 2023 2375 20 14 65  0
 0  0  77324   7756    592  16208    0    0     0     0 1809 2074 21 11 67  0
 0  0  77304   7772    592  16176   28    0    28     0 1374 1560 20 11 69  0
 0  0  77276   7772    592  16228    0    0    12     0 1192 1234 20 11 69  0
 0  0  79312   8392    600  15920    0 2044     0  2072 4720  912 19  9 66  6
 1  0  79312   8508    600  15940    0    0     0     0  531  570 15  3 82  0
 0  0  79312   8640    600  15944    0    0     0     0  354  441 12  2 86  0
MEDIA
NR:  69 CPU:  35.2537
