procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
 r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 10571044 205820 4443172    0    0    20    33  253  177  4  4 92  0  0
 2  0      0 10428412 205820 4443092    0    0     0    32 2550 9857 26  4 70  0  0
 1  0      0 10293612 205828 4443104    0    0     0    96 2154 8329 27  3 70  0  0
 2  0      0 10292100 205828 4443188    0    0     0     0 2167 3482  7  3 90  0  0
 0  0      0 10284432 205828 4443200    0    0     0     0 3190 6895 12  6 82  0  0
 4  0      0 10275952 205828 4443216    0    0     0     0 3358 6201 10  8 81  0  0
 5  0      0 10265800 205836 4443236    0    0     0    44 3491 6503 11 11 79  0  0
 0  0      0 10211140 205836 4443260    0    0     0     0 4457 10185 10 15 75  0  0
 5  0      0 10206944 205836 4443280    0    0     0     0 4579 9989 11 16 73  0  0
 0  0      0 10182648 205836 4443324    0    0     0     0 5101 11227 16 17 67  0  0
 4  0      0 10172628 205836 4443360    0    0     0     0 5336 12233 14 18 68  0  0
 3  0      0 10167548 205844 4443400    0    0     0    28 4517 10872  5 18 77  0  0
 2  0      0 10159252 205852 4443440    0    0     0    36 5265 13125 10 21 69  0  0
 2  0      0 10151212 205852 4443480    0    0     0     0 5650 14749  6 20 74  0  0
 1  0      0 10149880 205852 4443580    0    0     0     0 5749 14683  4 20 76  0  0
 0  0      0 10144076 205852 4443620    0    0     0     0 5618 14430  4 21 76  0  0
 1  0      0 10132484 205852 4443660    0    0     0     0 5535 14389  5 18 76  0  0
 0  0      0 10122404 205860 4443700    0    0     0    36 5329 13924  3 15 82  0  0
 0  0      0 10118624 205860 4443744    0    0     0     0 5835 15085  4 18 78  0  0
 0  0      0 10095692 205860 4443820    0    0     0     0 5767 14219  6 17 77  0  0
 2  0      0 10074272 205860 4443860    0    0     0     0 5303 13265  3 18 79  0  0
 2  0      0 10050584 205860 4443900    0    0     0  2616 6206 14851  4 19 78  0  0
 3  0      0 10020848 205868 4443932    0    0     0    36 5282 13086  4 17 78  0  0
 1  0      0 10017336 205868 4443980    0    0     0     0 5945 15433  7 18 75  0  0
 2  0      0 10012028 205868 4444036    0    0     0     0 5401 13867  9 17 75  0  0
 2  0      0 10008500 205868 4444080    0    0     0     0 5743 15164 14 16 70  0  0
 2  0      0 9996152 205868 4444120    0    0     0  3716 5618 14284 14 17 69  0  0
 1  0      0 9995412 205876 4444172    0    0     0    36 5716 16138 12 16 72  0  0
 3  0      0 9994908 205876 4444212    0    0     0     0 5621 14756  3 17 79  0  0
 1  0      0 9995160 205876 4444272    0    0     0     0 5931 16002  6 20 74  0  0
 1  0      0 9992136 205876 4444296    0    0     0     0 5721 14738 14 16 70  0  0
 0  0      0 9995664 205876 4444352    0    0     0   144 5917 15268  3 19 78  0  0
 4  0      0 9993876 205884 4444396    0    0     0    52 5211 13070  2 18 80  0  0
 3  0      0 9982032 205884 4444436    0    0     0     0 5746 14264  2 20 78  0  0
 2  0      0 9961904 205884 4444520    0    0     0     0 5245 13652  4 16 79  0  0
 3  0      0 9942752 205884 4444560    0    0     0     0 5469 14158  2 18 79  0  0
 2  0      0 9919316 205884 4444604    0    0     0  1172 5815 15364  3 17 80  0  0
 2  0      0 9897896 205892 4444644    0    0     0    36 5195 12775  3 18 79  0  0
 1  0      0 9870388 205892 4445392    0    0     0     0 5637 14317  2 18 80  0  0
 2  0      0 9845180 205892 4445460    0    0     0     0 5511 14185  3 20 77  0  0
 2  0      0 9819476 205892 4446228    0    0     0     0 7037 14577  3 17 81  0  0
 0  0      0 9793268 205892 4446268    0    0     0   188 5747 14811  2 16 82  0  0
 3  0      0 9768548 205900 4446300    0    0     0    28 4804 11931  4 18 78  0  0
 4  0      0 9739300 205900 4446912    0    0     0     0 5896 13562  4 19 77  0  0
 1  0      0 9706320 205900 4457612    0    0     0     0 7286 27097  3 17 79  0  0
 0  0      0 9686188 205900 4472056    0    0     0     0 5955 24026  3 15 82  0  0
 2  0      0 9670856 205900 4482652    0    0     0     4 6533 21774  4 15 82  0  0
 0  0      0 9636936 205908 4483044    0    0     0    24 7646 14929  2 25 73  0  0
 1  0      0 9606080 205908 4484476    0    0     0     0 6533 13972  1 20 78  0  0
 2  0      0 9592192 205964 4484524    0    0     0   644 5663 13119  4 20 76  0  0
