procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  84872  52128    752  22632    6    9    23    14  150  203  5  2 94  0
 0  0  84872  52160    752  22676    0    0     0     0   74   91  0  0 100  0
 0  0  84872  52160    752  22708    0    0     0     0   57  100  0  0 100  0
 0  0  84872  52160    752  22708    0    0     0     0   65  104  1  0 100  0
 0  0  84868  52160    760  22716    0    0     8     0  455  504  5  5 90  0
 0  0  84868  52160    768  22740    0    0     0    68  932 1146  9 10 81  0
 2  0  84868  52160    768  22764    0    0     0     0 1060 1331  9  7 83  0
 0  0  84868  52160    768  22808    0    0     0     0 2014 2581 13 12 74  0
 0  0  84868  52036    768  22868    0    0     8     0 2107 2601 10 12 77  0
 1  0  84868  52036    768  22924    0    0     0     0 2587 3481 11 14 74  0
 4  0  84868  51996    784  23092    0    0    64    16 2878 3825 14 12 74  0
 3  0  84868  14268    804  40348    0    0 17204     0 3797 5123 37 20 37  5
 0  1  85284   6996    604  40464 1344 1384  6992  2104 6709 6054 42 19 21 18
 1  1  85424   7368    464  40084   32  228   200   228 4493 5319 30 14 25 32
 4  1  85148   7616    300  39532  256  140   256   140 4610 5160 29 16 23 33
 5  0  85132   8264    308  38924    0  132     0   240 3361 5125 42 28 24  7
 1  0  85132   8328    444  39028    0    0   136     0 3183 5258 34 21 45  0
 1  0  84908   7336    444  39272  220    0   400     0 3236 4792 35 23 42  0
 0  0  85476   8360    444  38692    0  644     0   644 4873 5492 27 16 24 33
 0  0  86164   8328    444  39184  304 1008   780  1008 4639 5618 29 18 36 18
 7  0  86108   8080    452  39336    0    0     0    44 3514 5448 27 14 59  0
 1  0  86108   7988    452  39384    0    0     0     0 3489 5531 28 16 56  0
 0  0  85836   7460    452  39484  320    0   320     0 3286 4750 38 21 41  0
 1  0  87216   8452    452  39316    0 1428     0  1428 4442 5631 33 15 52  0
 0  0  87216   8328    452  39416    0    0     0     0 3498 5473 28 17 55  0
 6  0  87164   8204    460  39512    0    0     0    24 3026 4944 26 17 57  0
 0  0  87072   8080    460  39612    8    0     8     0 3130 5200 23 14 63  0
 0  0  87800   8336    456  39116 1416 1840  1416  1840 4549 4924 28 19 48  5
 0  0  87800   8088    456  39220    0    0     0     0 3339 5682 27 14 59  0
 0  0  87768   7964    456  39320    0    0     0     0 3422 5333 27 14 59  0
 0  0  87768   7964    464  39420    0    0     0    24 3418 5331 21 16 63  0
 4  0  88952   8336    464  39108    0 1184     0  1184 4010 5631 27 15 57  1
 1  0  88924   8336    464  39108    0   72     0    72 3435 5531 27 17 55  0
 0  0  88896   8336    464  39208    0    0     0     0 3536 5431 30 14 55  0
 0  0  88816   8244    464  39312    0    0     0     0 3505 5105 28 16 56  0
 0  0  90000   8616    472  38932  224 1440   224  1464 4782 5379 32 16 49  3
 0  0  89712   8616    472  39040  224    0   224     0 3482 5435 30 14 56  0
 0  0  89652   8244    472  39136    0    0     0     0 3370 5325 27 17 56  0
 0  0  89604   8120    472  39244    0    0     4     0 3429 5391 27 15 58  0
 1  0  90136   8276    472  39220   32  716   440   716 4316 5554 28 14 37 21
 0  0  90128   8368    480  39276    0    0     0    40 3590 5550 31 21 48  0
 1  0  90104   8152    480  39416    0    0    32     0 3459 5465 31 17 53  0
 0  0  89900   7904    480  39524   96    0    96   392 3440 5194 26 19 55  0
 2  0  89888   7624    480  39624    0    0     0     0 3372 5489 30 15 55  0
 1  0  91872   8212    480  38624    0 1984     0  1984 3367 5048 28 17 54  0
 5  0  91816   8120    488  38720   32    0    32    36 3346 5500 25 14 60  0
 0  0  91668   7964    488  38824    8    0     8     0 3581 5603 27 15 58  0
 2  0  92768   8584    488  37816    0 1148     0  3172 4629 5034 31 19 48  2
 2  0  92688   8708    488  37940   32    0    32     0 3313 5206 28 22 50  0
 0  0  92688   8708    488  38012    0    0     0     0 3460 5020 29 21 49  0
 0  0  92628   8708    496  38112    0    0     0    40 3631 5343 29 16 55  0
 1  0  92508   7996    496  38224   32    0    32     0 3430 5467 33 16 51  0
 0  0  92440   7996    496  38320   64    0    64     0 3563 5502 26 17 57  0
 0  0  92176   7872    496  38416   32    0    32     0 3435 5486 28 15 57  0
 0  1  92024   6724    500  37916    0  240     4   240 4125 4712 30 16 43 11
 0  0  93176   8376    500  37084    0 1152   116  1180 4178 4429 24 16 34 25
 0  0  93012   9244    500  37192   64    0    64     0 3161 4097 24 15 61  0
 2  0  92876   8748    508  37252    0    0     8     0 2649 3293 27 18 55  0
 2  0  92836   8748    508  37308   32    0    32     0 2731 3322 23 15 62  0
 2  0  92832   8624    508  37352    0    0     0     0 2057 2326 20 13 67  0
 0  0  92748   7756    516  37380    0    0     0    44 1712 1966 20 14 67  0
 2  0  92740   7756    516  37400    0    0     0     0 1261 1356 19 10 71  0
 0  0  92584   7756    516  37412    0    0     0     0 1019 1088 17  7 76  0
 0  1  92756   7508    516  37104    0  372     0   372  761  620 14  8 60 18
 0  0  93108   8252    516  36552   32  460    32   460  338  419 11  2 74 13
 1  0  93776   8360    516  36432  256  880   992   908  428  522 14  2 81  3
MEDIA
NR:  68 CPU:  38.3788
