size   time(us)   avg_ob   max_ob   min_ob.
3850   553.68312   1925.50   3850   1
3900   561.54103   1950.50   3900   1
3950   569.35696   1975.50   3950   1
4000   576.25750   2000.50   4000   1
4050   583.71605   2025.50   4050   1
4100   590.38537   2050.50   4100   1
4150   595.34699   2075.50   4150   1
4200   600.89524   2100.50   4200   1
4250   607.70353   2125.50   4250   1
4300   618.28372   2150.50   4300   1
4350   621.14713   2175.50   4350   1
4400   629.38864   2200.50   4400   1
4450   634.01798   2225.50   4450   1
4500   640.89333   2250.50   4500   1
4550   645.33187   2275.50   4550   1
4600   649.97391   2300.50   4600   1
4650   661.19140   2325.50   4650   1
4700   677.15957   2350.50   4700   1
4750   698.52211   2375.50   4750   1
4800   677.68542   2400.50   4800   1
4850   681.42887   2425.50   4850   1
4900   671.80000   2450.50   4900   1
4950   682.28889   2475.50   4950   1
5000   686.49600   2500.50   5000   1
5050   689.29505   2525.50   5050   1
5100   682.13922   2550.50   5100   1
5150   714.74175   2575.50   5150   1
5200   702.50577   2600.50   5200   1
5250   756.44190   2625.50   5250   1
5300   731.88679   2650.50   5300   1
5350   764.34953   2675.50   5350   1
5400   751.41111   2700.50   5400   1
5450   761.44771   2725.50   5450   1
5500   762.18182   2750.50   5500   1
5550   776.80180   2775.50   5550   1
5600   803.63214   2800.50   5600   1
5650   801.69558   2825.50   5650   1
5700   792.06316   2850.50   5700   1
5750   798.56000   2875.50   5750   1
5800   798.94138   2900.50   5800   1
5850   833.69231   2925.50   5850   1
5900   817.11356   2950.50   5900   1
5950   796.77143   2975.50   5950   1
6000   824.77667   3000.50   6000   1
6050   849.20826   3025.50   6050   1
6100   862.70820   3050.50   6100   1
6150   843.82439   3075.50   6150   1
6200   850.37742   3100.50   6200   1
6250   855.01280   3125.50   6250   1
6300   853.40476   3150.50   6300   1
6350   886.78740   3175.50   6350   1
6400   883.95000   3200.50   6400   1
6450   882.46977   3225.50   6450   1
6500   890.86462   3250.50   6500   1
6550   913.23969   3275.50   6550   1
6600   889.89394   3300.50   6600   1
6650   900.58947   3325.50   6650   1
6700   908.01194   3350.50   6700   1
6750   911.77926   3375.50   6750   1
6800   916.76912   3400.50   6800   1
6850   924.81022   3425.50   6850   1
6900   932.69710   3450.50   6900   1
6950   930.97266   3475.50   6950   1
7000   936.17286   3500.50   7000   1
7050   953.19149   3525.50   7050   1
7100   946.22535   3550.50   7100   1
7150   939.35804   3575.50   7150   1
7200   937.39861   3600.50   7200   1
7250   956.31724   3625.50   7250   1
7300   948.38904   3650.50   7300   1
7350   970.93197   3675.50   7350   1
7400   968.12162   3700.50   7400   1
7450   989.08322   3725.50   7450   1
7500   1023.72933   3750.50   7500   1
7550   1001.43311   3775.50   7550   1
7600   1001.09605   3800.50   7600   1
7650   1005.88235   3825.50   7650   1
7700   1019.39221   3850.50   7700   1
7750   1021.43742   3875.50   7750   1
7800   1021.52949   3900.50   7800   1
7850   1044.42420   3925.50   7850   1
7900   1024.17722   3950.50   7900   1
7950   1028.77862   3975.50   7950   1
8000   1042.04000   4000.50   8000   1
8050   1034.85590   4025.50   8050   1
8100   1113.86667   4050.50   8100   1
8150   1113.75092   4075.50   8150   1
8200   1082.11829   4100.50   8200   1
8250   1074.12606   4125.50   8250   1
8300   1081.64458   4150.50   8300   1
8350   1101.00000   4175.50   8350   1
8400   1098.01667   4200.50   8400   1
8450   1102.05799   4225.50   8450   1
8500   1100.08353   4250.50   8500   1
8550   1115.49474   4275.50   8550   1
8600   1114.65581   4300.50   8600   1
8650   1124.39422   4325.50   8650   1
8700   1130.70345   4350.50   8700   1
8750   1129.29143   4375.50   8750   1
8800   1142.25568   4400.50   8800   1
8850   1152.34463   4425.50   8850   1
8900   1153.18989   4450.50   8900   1
8950   1155.12514   4475.50   8950   1
9000   1143.82556   4500.50   9000   1
9050   1162.60110   4525.50   9050   1
9100   1161.86044   4550.50   9100   1
9150   1148.28087   4575.50   9150   1
9200   1167.06739   4600.50   9200   1
9250   1197.07784   4625.50   9250   1
9300   1220.63226   4650.50   9300   1
9350   1226.53690   4675.50   9350   1
9400   1219.87660   4700.50   9400   1
9450   1192.67619   4725.50   9450   1
9500   1201.68737   4750.50   9500   1
9550   1206.62304   4775.50   9550   1
9600   1176.00313   4800.50   9600   1
9650   1168.59378   4825.50   9650   1
9700   1202.92577   4850.50   9700   1
9750   1198.50667   4875.50   9750   1
9800   1207.35102   4900.50   9800   1
9850   1224.61726   4925.50   9850   1
9900   1249.77374   4950.50   9900   1
9950   1216.78794   4975.50   9950   1
