size   time(us)   avg_ob   max_ob   min_ob.
1000   166.86000   500.50   1000   1
1050   175.96190   525.50   1050   1
1100   184.09091   550.50   1100   1
1150   191.57391   575.50   1150   1
1200   194.07500   600.50   1200   1
1250   204.93600   625.50   1250   1
1300   213.63077   650.50   1300   1
1350   221.72593   675.50   1350   1
1400   215.95714   700.50   1400   1
1450   223.82069   725.50   1450   1
1500   230.28667   750.50   1500   1
1550   240.38065   775.50   1550   1
1600   246.17500   800.50   1600   1
1650   255.63636   825.50   1650   1
1700   259.72353   850.50   1700   1
1750   265.03429   875.50   1750   1
1800   271.50000   900.50   1800   1
1850   270.55135   925.50   1850   1
1900   277.24737   950.50   1900   1
1950   292.48205   975.50   1950   1
2000   299.10000   1000.50   2000   1
2050   308.58537   1025.50   2050   1
2100   312.36667   1050.50   2100   1
2150   316.55349   1075.50   2150   1
2200   325.22727   1100.50   2200   1
2250   328.73778   1125.50   2250   1
2300   335.81739   1150.50   2300   1
2350   345.84681   1175.50   2350   1
2400   352.17500   1200.50   2400   1
2450   360.45714   1225.50   2450   1
2500   369.03600   1250.50   2500   1
2550   375.07451   1275.50   2550   1
2600   380.39615   1300.50   2600   1
2650   388.73208   1325.50   2650   1
2700   394.73704   1350.50   2700   1
2750   402.28364   1375.50   2750   1
2800   405.32143   1400.50   2800   1
2850   398.57193   1425.50   2850   1
2900   409.73793   1450.50   2900   1
2950   413.13559   1475.50   2950   1
3000   429.93667   1500.50   3000   1
3050   434.98361   1525.50   3050   1
3100   439.35484   1550.50   3100   1
3150   445.51429   1575.50   3150   1
3200   448.63750   1600.50   3200   1
3250   457.84308   1625.50   3250   1
3300   465.68788   1650.50   3300   1
3350   468.33134   1675.50   3350   1
3400   490.94118   1700.50   3400   1
3450   499.32754   1725.50   3450   1
3500   506.95429   1750.50   3500   1
3550   527.29859   1775.50   3550   1
3600   538.56111   1800.50   3600   1
3650   545.26575   1825.50   3650   1
3700   548.91892   1850.50   3700   1
3750   557.29067   1875.50   3750   1
3800   549.31579   1900.50   3800   1
