size   time(us)   avg_ob   max_ob   min_ob.
1000   43.60910   45.68   996   1
1300   46.80277   61.49   1299   1
1600   55.40987   90.50   1599   1
1900   52.88068   80.32   1896   1
2200   60.04623   112.95   2200   1
2500   66.66736   134.46   2499   1
2800   69.53025   146.75   2797   1
3100   77.54413   170.71   3100   1
3400   81.41556   186.15   3400   1
3700   79.64451   179.28   3699   1
4000   79.76065   181.76   3993   1
4300   89.78067   221.40   4298   1
4600   96.85143   242.78   4592   1
4900   90.67335   219.74   4900   1
5200   114.41621   310.60   5200   1
5500   116.50462   317.09   5500   1
5800   120.48100   330.67   5799   1
6100   115.67484   315.50   6099   1
6400   118.98487   335.25   6398   1
6700   121.4527   352.52   6699   1
7000   133.48640   388.80   7000   1
7300   130.98777   384.48   7299   1
7600   121.05353   346.94   7598   1
7900   137.07119   407.19   7893   1
8200   143.83023   434.20   8200   1
8500   129.75659   378.57   8498   1
8800   140.88057   431.72   8799   1
9100   128.03216   386.39   9084   1
9400   150.37405   434.35   9400   1
9700   146.99100   445.07   9697   1
