size   time(us)   avg_ob   max_ob   min_ob.
1000   38.30480   8.99   10   1
1200   37.84083   9.30   11   1
1400   37.77786   9.55   11   1
1600   37.75919   9.73   11   1
1800   37.86283   9.87   11   1
2000   37.97250   9.98   11   1
2200   37.98036   10.14   12   1
2400   38.29354   10.30   12   1
2600   37.81973   10.43   12   1
2800   38.09821   10.54   12   1
3000   37.86627   10.64   12   1
3200   37.71219   10.72   12   1
3400   38.02135   10.80   12   1
3600   38.20803   10.87   12   1
3800   37.90816   10.93   12   1
4000   38.36625   10.98   12   1
4200   38.43376   11.05   13   1
4400   38.10550   11.14   13   1
4600   38.59293   11.22   13   1
4800   38.53298   11.30   13   1
5000   38.35130   11.36   13   1
5200   39.03710   11.43   13   1
5400   38.74596   11.49   13   1
5600   39.20559   11.54   13   1
5800   39.14067   11.59   13   1
6000   38.79047   11.64   13   1
6200   38.38316   11.68   13   1
6400   38.78411   11.72   13   1
6600   38.86292   11.76   13   1
6800   39.04819   11.80   13   1
7000   38.48437   11.83   13   1
7200   38.73368   11.86   13   1
7400   38.74749   11.89   13   1
7600   38.87708   11.92   13   1
7800   38.18431   11.95   13   1
8000   38.59009   11.98   13   1
8200   38.57976   12.00   14   1
8400   38.56090   12.05   14   1
8600   38.66255   12.10   14   1
8800   38.41726   12.14   14   1
9000   38.35671   12.18   14   1
9200   38.68452   12.22   14   1
9400   38.93162   12.26   14   1
9600   39.04974   12.29   14   1
9800   38.98661   12.33   14   1
